time	channel1	channel2	channel3	channel4	channel5	channel6	channel7	channel8	class
2	-1e-05	-4e-05	1e-05	0.00013	5e-05	-1e-05	-2e-05	-1e-05	0
6	-1e-05	-4e-05	1e-05	0.00013	5e-05	-1e-05	-2e-05	-1e-05	0
7	-1e-05	-1e-05	-4e-05	-7e-05	-9e-05	-3e-05	-1e-05	-3e-05	0
8	-2e-05	2e-05	4e-05	-7e-05	-8e-05	-2e-05	-1e-05	-1e-05	0
9	-2e-05	2e-05	4e-05	-7e-05	-8e-05	-2e-05	-1e-05	-1e-05	0
10	-2e-05	2e-05	4e-05	-7e-05	-8e-05	-2e-05	-1e-05	-1e-05	0
11	-2e-05	2e-05	4e-05	-7e-05	-8e-05	-2e-05	-1e-05	-1e-05	0
12	-2e-05	2e-05	4e-05	-7e-05	-8e-05	-2e-05	-1e-05	-1e-05	0
13	-2e-05	2e-05	4e-05	-7e-05	-8e-05	-2e-05	-1e-05	-1e-05	0
14	-2e-05	2e-05	4e-05	-7e-05	-8e-05	-2e-05	-1e-05	-1e-05	0
15	-2e-05	2e-05	4e-05	-7e-05	-8e-05	-2e-05	-1e-05	-1e-05	0
16	-2e-05	2e-05	4e-05	-7e-05	-8e-05	-2e-05	-1e-05	-1e-05	0
17	-2e-05	2e-05	4e-05	-7e-05	-8e-05	-2e-05	-1e-05	-1e-05	0
18	-2e-05	2e-05	4e-05	-7e-05	-8e-05	-2e-05	-1e-05	-1e-05	0
19	0	1e-05	0	-8e-05	-8e-05	-2e-05	-3e-05	-2e-05	0
20	0	1e-05	0	-8e-05	-8e-05	-2e-05	-3e-05	-2e-05	0
21	0	1e-05	0	-8e-05	-8e-05	-2e-05	-3e-05	-2e-05	0
22	0	1e-05	0	-8e-05	-8e-05	-2e-05	-3e-05	-2e-05	0
23	0	1e-05	0	-8e-05	-8e-05	-2e-05	-3e-05	-2e-05	0
24	0	1e-05	0	-8e-05	-8e-05	-2e-05	-3e-05	-2e-05	0
25	0	1e-05	0	-8e-05	-8e-05	-2e-05	-3e-05	-2e-05	0
26	0	1e-05	0	-8e-05	-8e-05	-2e-05	-3e-05	-2e-05	0
27	0	1e-05	0	-8e-05	-8e-05	-2e-05	-3e-05	-2e-05	0
28	0	1e-05	0	-8e-05	-8e-05	-2e-05	-3e-05	-2e-05	0
29	0	1e-05	0	-8e-05	-8e-05	-2e-05	-3e-05	-2e-05	0
30	0	1e-05	0	-8e-05	-8e-05	-2e-05	-3e-05	-2e-05	0
31	0	1e-05	0	-8e-05	-8e-05	-2e-05	-3e-05	-2e-05	0
33	0	1e-05	0	-8e-05	-8e-05	-2e-05	-3e-05	-2e-05	0
34	0	2e-05	2e-05	-2e-05	-9e-05	-3e-05	-1e-05	0	0
35	0	2e-05	2e-05	-2e-05	-9e-05	-3e-05	-1e-05	0	0
44	-2e-05	-4e-05	-6e-05	-3e-05	-1e-05	0	-1e-05	-2e-05	0
