Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-7807.545000	-1274.895000	16349.130000	31779.675000	25397.595000	523.710000	-27288.540000	-31358.700000	6.401820	4.899174	3.102181	1.213179	-0.241484	2.538205	5.421556	7.977604	-2.212700	3.967600	-3.586100	-0.659239	-0.086609	0.727903	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	550170.000000	1775800908.734043
-7809.660000	-1275.030000	16350.975000	31783.230000	25396.470000	522.810000	-27291.780000	-31363.695000	5.015805	3.322051	1.631737	0.120405	-1.180058	0.957040	5.412565	7.222263	-2.212700	3.967600	-3.586100	-0.659239	-0.086609	0.727903	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	550171.000000	1775800908.734066
-7804.215000	-1269.630000	16356.600000	31789.575000	25403.130000	524.610000	-27287.730000	-31359.060000	2.174909	1.068691	0.144202	-0.401504	-1.672584	-0.904264	3.561979	4.151475	-2.212700	3.967600	-3.586100	-0.659239	-0.086609	0.727903	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	550172.000000	1775800908.734088
-7807.410000	-1273.005000	16352.370000	31784.535000	25404.975000	514.620000	-27291.915000	-31362.435000	-0.698378	-0.771290	-0.608131	-0.126990	-1.084602	-2.295210	0.809761	0.463606	-2.212700	3.967600	-3.586100	-0.659239	-0.086609	0.727903	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	550173.000000	1775800908.734099
-7806.915000	-1272.510000	16351.470000	31780.170000	25406.730000	522.945000	-27285.930000	-31361.445000	-2.558222	-1.777552	-0.815990	0.138080	0.454941	-2.972534	-1.651739	-2.272870	-2.212700	3.967600	-3.586100	-0.659239	-0.086609	0.727903	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	550174.000000	1775800908.736055
-7818.390000	-1288.440000	16331.310000	31754.385000	25384.905000	513.270000	-27288.765000	-31364.280000	-3.407043	-2.432111	-1.432249	-0.939875	1.463468	-2.769108	-2.930579	-3.466412	-2.212700	3.967600	-3.586100	-0.659239	-0.086609	0.727903	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	550175.000000	1775800908.736076
-7818.750000	-1292.895000	16325.145000	31748.895000	25380.855000	501.615000	-27292.905000	-31365.405000	-3.758164	-3.410254	-3.132973	-3.784576	0.227573	-2.036305	-2.971041	-3.344161	-2.212700	3.967600	-3.586100	-0.659239	-0.086609	0.727903	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	550176.000000	1775800908.746773
-7813.845000	-1284.435000	16340.040000	31770.720000	25394.760000	495.270000	-27305.640000	-31382.100000	-3.471677	-4.167733	-4.701369	-6.097417	-2.454142	-1.709699	-2.669822	-2.717166	-2.212700	3.967600	-3.586100	-0.659239	-0.086609	0.727903	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	550177.000000	1775800908.746799
-7811.415000	-1274.490000	16352.955000	31782.600000	25394.625000	488.160000	-27297.765000	-31373.055000	-1.766497	-2.824847	-3.249428	-3.953670	-3.317142	-1.866949	-2.642203	-2.310236	-2.212700	3.967600	-3.586100	-0.659239	-0.086609	0.727903	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	550178.000000	1775800908.746821
-7798.995000	-1257.120000	16368.705000	31796.415000	25388.010000	493.200000	-27284.715000	-31357.080000	1.421206	1.532708	2.276847	3.288466	-1.028711	-1.410209	-1.868269	-1.311779	-2.212700	3.967600	-3.586100	-0.659239	-0.086609	0.727903	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	550179.000000	1775800908.746832
-7798.365000	-1251.720000	16372.170000	31800.645000	25391.790000	502.695000	-27295.200000	-31366.620000	4.892046	7.158022	8.969402	11.220211	2.213516	0.816213	0.692945	1.414949	0.656180	2.350040	-2.884140	-0.659300	-0.086853	0.730284	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	550180.000000	1775800908.751865
-7789.455000	-1245.060000	16377.705000	31805.370000	25422.615000	530.460000	-27286.425000	-31361.040000	6.846763	10.573586	12.192808	14.330164	4.547625	5.118371	3.715028	4.505412	0.656180	2.350040	-2.884140	-0.659300	-0.086853	0.730284	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	550181.000000	1775800908.751892
-7792.470000	-1256.355000	16364.745000	31790.700000	25432.470000	549.225000	-27276.165000	-31353.120000	6.035554	8.964011	9.168689	10.107737	6.450623	10.426413	5.284935	5.658259	0.656180	2.350040	-2.884140	-0.659300	-0.086853	0.730284	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	550182.000000	1775800908.751921
-7795.665000	-1266.705000	16354.890000	31780.620000	25408.530000	531.225000	-27277.470000	-31344.660000	2.466327	2.054833	0.617198	0.042822	7.247988	13.464665	5.081245	4.647186	0.656180	2.350040	-2.884140	-0.659300	-0.086853	0.730284	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	550183.000000	1775800908.751933
-7798.905000	-1275.840000	16345.305000	31771.980000	25394.985000	535.365000	-27276.345000	-31338.180000	-2.622505	-7.378368	-9.648546	-11.269508	3.770720	10.116313	3.299458	2.641903	0.656180	2.350040	-2.884140	-0.659300	-0.086853	0.730284	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	550184.000000	1775800908.771472
-7810.785000	-1291.635000	16329.150000	31755.735000	25380.900000	532.710000	-27279.495000	-31341.375000	-7.255950	-14.841503	-16.759383	-18.491646	-4.677681	0.302264	0.142186	0.341472	0.656180	2.350040	-2.884140	-0.659300	-0.086853	0.730284	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	550185.000000	1775800908.771500
-7819.560000	-1293.795000	16331.310000	31761.585000	25394.805000	531.225000	-27286.650000	-31361.895000	-9.806797	-16.795147	-17.482382	-18.441313	-13.220260	-10.788571	-3.584119	-2.659344	0.656180	2.350040	-2.884140	-0.659300	-0.086853	0.730284	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	550186.000000	1775800908.771528
-7821.990000	-1283.130000	16344.045000	31775.220000	25405.605000	529.470000	-27288.000000	-31383.180000	-9.444517	-12.003138	-11.114843	-10.847610	-15.152844	-17.386934	-6.605553	-7.038246	0.656180	2.350040	-2.884140	-0.659300	-0.086853	0.730284	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	550187.000000	1775800908.771542
-7812.900000	-1265.490000	16359.615000	31789.485000	25406.370000	532.395000	-27282.555000	-31386.195000	-5.769027	-1.532510	0.600134	1.883351	-8.277446	-16.926366	-7.454410	-11.620582	0.656180	2.350040	-2.884140	-0.659300	-0.086853	0.730284	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	550188.000000	1775800908.771558
-7795.620000	-1249.560000	16373.880000	31802.580000	25420.770000	547.785000	-27271.530000	-31367.520000	0.980903	11.056500	13.328060	14.756599	3.084202	-10.192621	-5.039898	-12.527938	0.656180	2.350040	-2.884140	-0.659300	-0.086853	0.730284	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	550189.000000	1775800908.771569
-7791.435000	-1247.490000	16376.130000	31805.910000	25429.410000	550.620000	-27269.010000	-31354.335000	8.935539	20.324361	21.434309	22.046639	12.481008	-0.180305	0.105488	-6.344394	0.732480	-0.412020	-1.419180	-0.667540	-0.087402	0.733946	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	550190.000000	1775800908.771582
-7788.645000	-1247.355000	16375.815000	31804.785000	25425.945000	534.600000	-27275.265000	-31350.060000	14.369019	21.444983	20.843353	20.304911	15.701993	8.452034	5.229538	5.258999	0.732480	-0.412020	-1.419180	-0.667540	-0.087402	0.733946	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	550191.000000	1775800908.771592
