Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-10885.770000	-3664.980000	13634.730000	41661.810000	23974.785000	5387.310000	-19954.170000	-2285.730000	1.586739	1.604336	-0.483712	-1.512021	-6.167574	-8.164600	-1.238056	0.687976	-0.763000	0.808780	-1.556520	-0.793150	-0.120361	0.584654	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	270276.000000	1775800348.760719
-10883.295000	-3666.330000	13627.980000	41648.175000	23961.600000	5382.945000	-19950.615000	-2283.615000	1.565179	1.573538	2.867476	-0.673524	-11.051423	-9.688957	-1.185565	0.534505	-0.763000	0.808780	-1.556520	-0.793150	-0.120361	0.584654	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	270277.000000	1775800348.760742
-10891.620000	-3675.555000	13619.745000	41641.920000	23976.720000	5378.175000	-19954.845000	-2288.115000	1.842172	1.692527	4.939432	0.119160	-10.189343	-5.535665	0.776175	0.833858	-0.763000	0.808780	-1.556520	-0.793150	-0.120361	0.584654	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	270278.000000	1775800348.767003
-10896.975000	-3677.355000	13619.430000	41646.555000	24006.060000	5366.925000	-19967.355000	-2294.595000	1.168572	0.734918	4.185882	-0.435689	-4.226180	0.131348	2.506724	0.770440	-0.763000	0.808780	-1.556520	-0.793150	-0.120361	0.584654	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	270279.000000	1775800348.767030
-10897.740000	-3678.390000	13619.880000	41647.860000	23979.645000	5366.745000	-19965.060000	-2295.450000	-0.910825	-1.314854	1.387791	-1.331835	4.393672	3.382094	2.001385	-0.273158	-2.624720	-0.198380	-1.007160	-0.792234	-0.117981	0.583739	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	270280.000000	1775800348.772372
-10889.415000	-3669.795000	13628.745000	41654.565000	23967.090000	5380.740000	-19957.410000	-2289.780000	-2.949048	-2.850481	-1.017980	-0.915451	9.898305	3.881161	-0.051256	-1.580029	-2.624720	-0.198380	-1.007160	-0.792234	-0.117981	0.583739	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	270281.000000	1775800348.772410
-10879.245000	-3659.490000	13642.380000	41667.570000	23986.980000	5389.200000	-19948.545000	-2280.015000	-2.855603	-2.197001	-1.071752	1.167043	8.207784	3.968186	-1.079652	-1.576664	-2.624720	-0.198380	-1.007160	-0.792234	-0.117981	0.583739	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	270282.000000	1775800348.821269
-10883.655000	-3662.055000	13643.505000	41673.780000	24004.620000	5391.585000	-19944.315000	-2279.205000	-0.318851	0.548483	1.169884	3.966700	2.621593	4.973327	0.188599	0.316524	-2.624720	-0.198380	-1.007160	-0.792234	-0.117981	0.583739	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	270283.000000	1775800348.821297
-10888.380000	-3666.960000	13630.140000	41653.755000	23998.860000	5383.215000	-19947.375000	-2281.815000	2.367103	3.054882	3.181332	5.279938	-1.086036	5.428560	2.338638	2.615955	-2.624720	-0.198380	-1.007160	-0.792234	-0.117981	0.583739	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	270284.000000	1775800348.821325
-10887.390000	-3667.725000	13621.860000	41642.370000	23993.730000	5385.465000	-19946.790000	-2284.155000	2.704026	2.933920	1.941452	2.609827	-1.953363	3.299799	2.939568	3.110660	-2.624720	-0.198380	-1.007160	-0.792234	-0.117981	0.583739	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	270285.000000	1775800348.821338
-10891.620000	-3672.630000	13627.935000	41646.825000	23989.815000	5384.970000	-19952.280000	-2289.735000	0.606242	0.181117	-2.482286	-3.540913	-2.582698	-1.072353	0.991455	1.063428	-2.624720	-0.198380	-1.007160	-0.792234	-0.117981	0.583739	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	270286.000000	1775800348.821353
-10891.350000	-3674.070000	13632.435000	41647.680000	23985.135000	5377.230000	-19959.930000	-2293.605000	-2.117679	-3.205042	-6.418909	-8.751248	-4.285062	-5.347573	-2.552992	-2.331462	-2.624720	-0.198380	-1.007160	-0.792234	-0.117981	0.583739	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	270287.000000	1775800348.821365
-10892.340000	-3668.940000	13640.895000	41651.820000	23987.340000	5375.970000	-19960.515000	-2295.360000	-3.655314	-4.990255	-6.385463	-8.953158	-5.914849	-7.621748	-5.798697	-5.037646	-2.624720	-0.198380	-1.007160	-0.792234	-0.117981	0.583739	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	52.000000	0.000000	-1.000000	-1.000000	270288.000000	1775800348.821379
