Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-1910.250000	-38908.530000	6293.565000	38775.510000	-5333.085000	9041.130000	-27641.205000	11548.845000	-1.117731	-2.897631	-4.030288	-4.285656	-2.276769	-0.808430	-2.546465	-3.266968	12.604760	-17.320100	18.235700	-0.762693	-0.022644	0.638121	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	559108.000000	1776577517.334528
-1906.065000	-38907.585000	6289.605000	38763.225000	-5344.515000	9054.045000	-27631.845000	11554.920000	0.347359	-1.334027	-1.937914	-1.889615	-0.507743	-0.584173	-0.469024	0.305789	12.604760	-17.320100	18.235700	-0.762693	-0.022644	0.638121	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	559109.000000	1776577517.334543
-1905.120000	-38907.225000	6288.885000	38761.605000	-5347.890000	9053.595000	-27638.730000	11556.045000	1.479551	-0.286800	-0.800639	-1.364011	0.112074	1.888070	2.380521	4.044567	12.604760	-17.320100	18.235700	-0.762693	-0.022644	0.638121	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	559110.000000	1776577517.338606
-1896.390000	-38898.990000	6297.210000	38774.025000	-5336.595000	9053.280000	-27637.155000	11562.975000	2.507839	0.375117	-0.328000	-1.780138	-0.222471	4.615901	4.607733	6.856462	12.604760	-17.320100	18.235700	-0.762693	-0.022644	0.638121	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	559111.000000	1776577517.338620
-1900.755000	-38904.435000	6292.530000	38770.560000	-5337.720000	9046.935000	-27639.135000	11561.085000	3.277457	0.969410	0.383179	-1.018083	-0.229572	4.705687	4.738695	7.698249	12.604760	-17.320100	18.235700	-0.762693	-0.022644	0.638121	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	559112.000000	1776577517.342500
-1904.310000	-38905.290000	6292.260000	38767.635000	-5340.105000	9043.740000	-27639.270000	11557.755000	2.983462	1.201888	1.370352	1.292861	0.761030	1.340929	2.829232	5.961803	12.604760	-17.320100	18.235700	-0.762693	-0.022644	0.638121	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	559113.000000	1776577517.342513
-1904.355000	-38906.775000	6288.930000	38760.660000	-5348.790000	9038.880000	-27639.630000	11559.195000	1.067561	0.584387	1.805268	3.230324	1.609264	-3.637649	0.137868	2.023198	12.604760	-17.320100	18.235700	-0.762693	-0.022644	0.638121	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	559114.000000	1776577517.346363
-1904.850000	-38906.550000	6289.425000	38763.540000	-5350.005000	9035.730000	-27637.920000	11562.525000	-1.643755	-0.561065	1.316829	3.264259	1.087793	-7.372658	-1.944663	-2.364235	12.604760	-17.320100	18.235700	-0.762693	-0.022644	0.638121	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	559115.000000	1776577517.346398
-1903.095000	-38906.730000	6287.130000	38761.605000	-5351.445000	9035.820000	-27637.335000	11565.945000	-3.519985	-1.361103	0.364837	1.867332	-0.435637	-7.919734	-2.622657	-5.030752	12.604760	-17.320100	18.235700	-0.762693	-0.022644	0.638121	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	559116.000000	1776577517.350497
-1901.790000	-38907.540000	6284.070000	38757.870000	-5345.415000	9040.905000	-27636.390000	11566.755000	-3.551072	-1.287906	-0.431759	0.369698	-1.396082	-5.018864	-1.988082	-5.055730	12.604760	-17.320100	18.235700	-0.762693	-0.022644	0.638121	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	559117.000000	1776577517.350511
