Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
30969.495000	-84137.715000	-8090.595000	8163.360000	832.590000	2134.710000	6389.280000	-29165.220000	0.492946	0.288359	1.467431	0.519462	14.540219	-3.786403	6.561278	4.273818	-0.625660	4.471180	-3.738700	-0.576292	0.141784	0.790403	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	66.000000	0.000000	-1.000000	-1.000000	290653.000000	1776576980.148766
30971.340000	-84138.300000	-8085.645000	8171.955000	839.205000	2114.955000	6388.560000	-29164.410000	1.893641	2.107538	5.233233	8.609244	20.665432	18.975446	6.074981	6.036926	-0.625660	4.471180	-3.738700	-0.576292	0.141784	0.790403	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	66.000000	0.000000	-1.000000	-1.000000	290654.000000	1776576980.152562
30979.035000	-84138.210000	-8088.615000	8162.460000	806.985000	2086.470000	6390.405000	-29161.395000	3.052154	3.692006	7.266872	13.379961	17.664857	29.292723	3.530284	6.720063	-0.625660	4.471180	-3.738700	-0.576292	0.141784	0.790403	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	66.000000	0.000000	-1.000000	-1.000000	290655.000000	1776576980.152581
30986.370000	-84135.420000	-8092.620000	8149.590000	785.340000	2039.445000	6389.055000	-29158.740000	4.629838	4.218762	6.508274	11.457516	4.204356	14.454534	0.024310	6.219328	-1.007160	2.594200	-3.631880	-0.575743	0.144409	0.790098	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	66.000000	0.000000	-1.000000	-1.000000	290656.000000	1776576980.156650
30992.625000	-84128.220000	-8087.445000	8150.400000	789.660000	2039.895000	6386.130000	-29156.670000	6.296301	3.437312	3.048682	3.096100	-14.441079	-17.968036	-3.025226	4.503803	-1.007160	2.594200	-3.631880	-0.575743	0.144409	0.790098	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	66.000000	0.000000	-1.000000	-1.000000	290657.000000	1776576980.156668
30985.110000	-84132.180000	-8084.745000	8163.180000	800.235000	2042.145000	6393.735000	-29161.890000	6.569113	1.872709	-1.194831	-6.628788	-27.421918	-46.198510	-4.599331	1.778050	-1.007160	2.594200	-3.631880	-0.575743	0.144409	0.790098	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	66.000000	0.000000	-1.000000	-1.000000	290658.000000	1776576980.160709
30975.480000	-84136.095000	-8083.305000	8171.280000	807.705000	2056.680000	6400.440000	-29167.560000	3.858645	-0.180820	-3.975374	-11.448818	-26.621102	-51.696029	-4.031913	-1.629926	-1.007160	2.594200	-3.631880	-0.575743	0.144409	0.790098	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	66.000000	0.000000	-1.000000	-1.000000	290659.000000	1776576980.160725
30979.710000	-84133.710000	-8085.465000	8161.785000	803.970000	2071.260000	6394.005000	-29167.965000	-1.546764	-2.535065	-4.591620	-9.448384	-13.472174	-31.918971	-1.678679	-4.935147	-1.007160	2.594200	-3.631880	-0.575743	0.144409	0.790098	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	66.000000	0.000000	-1.000000	-1.000000	290660.000000	1776576980.164570
30985.245000	-84129.120000	-8079.075000	8179.830000	835.470000	2077.155000	6381.675000	-29172.600000	-6.614346	-4.203019	-3.708675	-3.776339	3.676618	0.690233	0.415712	-6.812518	-1.007160	2.594200	-3.631880	-0.575743	0.144409	0.790098	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	66.000000	0.000000	-1.000000	-1.000000	290661.000000	1776576980.164588
30988.260000	-84127.365000	-8078.580000	8177.085000	818.145000	2071.080000	6380.730000	-29174.490000	-8.045482	-4.042478	-2.110179	1.677173	16.590765	28.582044	0.325215	-6.376822	-1.007160	2.594200	-3.631880	-0.575743	0.144409	0.790098	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	66.000000	0.000000	-1.000000	-1.000000	290662.000000	1776576980.168534
