Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
14653.305000	-15778.890000	16460.010000	60969.510000	26387.370000	7998.345000	-23685.615000	8232.345000	9.102663	12.927142	13.003532	9.293884	7.544579	3.282745	-2.497128	4.947646	-18.510380	3.311420	4.654300	-0.706968	0.432677	0.563231	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	62.000000	0.000000	-1.000000	-1.000000	1226003.000000	1776578852.611906
14620.950000	-15816.240000	16423.875000	60940.980000	26427.510000	8143.020000	-23659.290000	8212.950000	15.519345	16.891474	17.071149	15.003942	18.019678	20.587544	1.523363	11.615942	-18.510380	3.311420	4.654300	-0.706968	0.432677	0.563231	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	62.000000	0.000000	-1.000000	-1.000000	1226004.000000	1776578852.612192
14620.860000	-15806.475000	16435.035000	60950.925000	26464.905000	8202.420000	-23661.990000	8209.395000	17.451146	15.906576	15.461181	14.710053	24.645199	44.099405	5.550583	15.410278	-18.510380	3.311420	4.654300	-0.706968	0.432677	0.563231	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	62.000000	0.000000	-1.000000	-1.000000	1226005.000000	1776578852.612198
14643.000000	-15776.415000	16460.055000	60956.190000	26447.760000	8134.875000	-23655.690000	8224.965000	10.766826	8.264971	7.703097	8.600014	25.414187	60.415958	8.311450	11.281516	-18.510380	3.311420	4.654300	-0.706968	0.432677	0.563231	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	62.000000	0.000000	-1.000000	-1.000000	1226006.000000	1776578852.616620
14649.885000	-15773.220000	16466.580000	60959.385000	26411.850000	8019.765000	-23686.290000	8224.515000	0.093357	-0.618789	-0.436601	1.497252	16.795613	46.948292	7.130047	1.728133	-18.510380	3.311420	4.654300	-0.706968	0.432677	0.563231	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	62.000000	0.000000	-1.000000	-1.000000	1226007.000000	1776578852.616657
14659.335000	-15770.970000	16468.515000	60956.640000	26378.685000	7941.825000	-23709.870000	8233.560000	-7.697473	-5.939243	-4.614470	-2.924772	-2.496064	-3.419994	0.456172	-7.169711	-18.510380	3.311420	4.654300	-0.706968	0.432677	0.563231	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	62.000000	0.000000	-1.000000	-1.000000	1226008.000000	1776578852.620522
14655.870000	-15769.800000	16477.380000	60964.785000	26395.605000	8021.745000	-23706.495000	8225.640000	-10.331598	-7.977233	-5.562461	-4.359905	-24.959732	-64.430080	-9.183613	-11.735317	-18.510380	3.311420	4.654300	-0.706968	0.432677	0.563231	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	62.000000	0.000000	-1.000000	-1.000000	1226009.000000	1776578852.620559
14665.095000	-15754.005000	16497.720000	60974.910000	26416.755000	8075.475000	-23691.195000	8227.485000	-9.454957	-8.402220	-5.191514	-3.739183	-36.753960	-92.635955	-14.953097	-11.878021	-18.510380	3.311420	4.654300	-0.706968	0.432677	0.563231	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	62.000000	0.000000	-1.000000	-1.000000	1226010.000000	1776578852.624209
14646.105000	-15784.155000	16460.685000	60921.405000	26376.345000	8049.105000	-23666.580000	8225.235000	-7.544602	-8.058976	-4.799697	-2.952405	-30.353469	-67.756996	-11.060271	-9.227831	-18.510380	3.311420	4.654300	-0.706968	0.432677	0.563231	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	62.000000	0.000000	-1.000000	-1.000000	1226011.000000	1776578852.624229
14614.245000	-15823.350000	16422.030000	60877.620000	26391.375000	8062.830000	-23654.925000	8209.620000	-6.889795	-8.697451	-6.875993	-5.649529	-12.005126	-11.150742	1.399192	-5.574555	-45.413760	8.316700	13.352500	-0.701170	0.482604	0.559264	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	62.000000	0.000000	-1.000000	-1.000000	1226012.000000	1776578852.628394
14607.270000	-15831.450000	16413.885000	60856.605000	26438.625000	8076.420000	-23658.570000	8203.635000	-8.397402	-11.476614	-12.410510	-12.702049	7.680583	39.633103	14.555608	-2.527546	-45.413760	8.316700	13.352500	-0.701170	0.482604	0.559264	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	62.000000	0.000000	-1.000000	-1.000000	1226013.000000	1776578852.628408
14611.005000	-15820.740000	16426.755000	60857.685000	26447.760000	8095.995000	-23661.540000	8200.980000	-9.368505	-12.895231	-16.389657	-17.998694	23.192162	62.188853	19.631652	-0.546619	-45.413760	8.316700	13.352500	-0.701170	0.482604	0.559264	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	62.000000	0.000000	-1.000000	-1.000000	1226014.000000	1776578852.632412
14625.720000	-15793.515000	16460.100000	60875.595000	26443.755000	8147.655000	-23667.705000	8204.040000	-5.413180	-7.160263	-11.452929	-13.564414	30.707667	56.191262	13.585377	1.412779	-45.413760	8.316700	13.352500	-0.701170	0.482604	0.559264	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	62.000000	0.000000	-1.000000	-1.000000	1226015.000000	1776578852.632426
14619.060000	-15797.790000	16454.880000	60849.405000	26445.510000	8185.545000	-23663.250000	8197.560000	4.084331	6.306571	3.347857	1.333812	26.385954	34.574692	0.771941	4.115577	-45.413760	8.316700	13.352500	-0.701170	0.482604	0.559264	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	62.000000	0.000000	-1.000000	-1.000000	1226016.000000	1776578852.636335
14598.495000	-15823.170000	16429.185000	60805.080000	26466.750000	8221.050000	-23650.065000	8187.885000	13.808145	19.766685	19.147827	17.288611	11.891330	11.092448	-10.784167	6.536586	-45.413760	8.316700	13.352500	-0.701170	0.482604	0.559264	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	62.000000	0.000000	-1.000000	-1.000000	1226017.000000	1776578852.636350
