Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-67501.755000	-31037.580000	-12739.140000	-703.395000	-21321.405000	-38041.470000	4393.260000	-28553.580000	5.778608	5.414568	4.039114	4.651950	1.917641	2.058967	6.401443	5.076934	-1.815940	2.060100	-0.213640	-0.801512	-0.167846	0.566222	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	63.000000	0.000000	-1.000000	-1.000000	318813.000000	1775715661.966219
-67499.730000	-31039.425000	-12741.345000	-708.075000	-21317.670000	-38035.890000	4390.110000	-28557.855000	4.131103	3.643515	3.003399	3.179127	0.549999	1.163720	4.640801	4.047864	-1.815940	2.060100	-0.213640	-0.801512	-0.167846	0.566222	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	63.000000	0.000000	-1.000000	-1.000000	318814.000000	1775715661.966238
-67495.995000	-31035.150000	-12735.450000	-703.080000	-21311.505000	-38031.615000	4392.360000	-28556.325000	2.262867	1.325369	1.435354	1.453793	-0.018247	0.653361	1.571451	2.042277	-1.815940	2.060100	-0.213640	-0.801512	-0.167846	0.566222	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	63.000000	0.000000	-1.000000	-1.000000	318815.000000	1775715661.972043
-67507.155000	-31039.380000	-12741.930000	-709.965000	-21317.580000	-38036.970000	4388.490000	-28559.385000	0.342789	-0.961401	-0.630315	-1.079339	0.098813	0.365651	-1.068424	-0.333355	-1.815940	2.060100	-0.213640	-0.801512	-0.167846	0.566222	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	63.000000	0.000000	-1.000000	-1.000000	318816.000000	1775715661.972061
-67514.265000	-31039.605000	-12742.290000	-711.765000	-21320.640000	-38043.945000	4387.455000	-28561.050000	-2.071423	-2.741649	-2.774191	-4.109822	-0.048608	-0.451739	-2.482476	-2.293781	-1.815940	2.060100	-0.213640	-0.801512	-0.167846	0.566222	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	63.000000	0.000000	-1.000000	-1.000000	318817.000000	1775715662.849155
-67511.520000	-31038.480000	-12741.570000	-712.575000	-21321.720000	-38047.230000	4387.995000	-28560.555000	-4.721296	-3.705463	-4.368081	-6.509073	-1.161085	-2.268254	-2.666016	-3.269169	-1.815940	2.060100	-0.213640	-0.801512	-0.167846	0.566222	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	63.000000	0.000000	-1.000000	-1.000000	318818.000000	1775715662.849182
-67498.245000	-31030.920000	-12733.875000	-705.015000	-21314.790000	-38039.265000	4393.710000	-28552.950000	-5.722626	-3.418261	-4.480452	-6.820528	-2.483497	-4.033452	-1.772959	-2.874890	-1.815940	2.060100	-0.213640	-0.801512	-0.167846	0.566222	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	63.000000	0.000000	-1.000000	-1.000000	318819.000000	1775715662.849210
-67488.930000	-31031.190000	-12734.280000	-706.230000	-21314.070000	-38031.795000	4396.905000	-28548.495000	-3.271479	-1.730188	-2.653384	-4.368114	-2.577759	-3.786425	-0.011344	-1.022070	-1.815940	2.060100	-0.213640	-0.801512	-0.167846	0.566222	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	63.000000	0.000000	-1.000000	-1.000000	318820.000000	1775715662.849223
-67485.645000	-31027.455000	-12731.445000	-703.935000	-21311.955000	-38027.205000	4397.355000	-28547.415000	1.778236	0.555229	0.214737	-0.259988	-1.106063	-0.867999	1.903142	1.489762	-0.061040	3.189340	-0.350980	-0.800962	-0.168884	0.565489	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	63.000000	0.000000	-1.000000	-1.000000	318821.000000	1775715662.849309
-67484.790000	-31027.005000	-12732.705000	-706.140000	-21311.505000	-38031.840000	4388.805000	-28550.295000	6.068929	2.154765	2.452869	3.304037	0.849208	2.891804	2.689007	3.039685	-0.061040	3.189340	-0.350980	-0.800962	-0.168884	0.565489	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	63.000000	0.000000	-1.000000	-1.000000	318822.000000	1775715662.849321
-67474.890000	-31021.740000	-12729.330000	-704.115000	-21305.205000	-38027.520000	4391.370000	-28545.435000	6.823734	2.407154	3.016187	4.745109	2.100484	4.759908	1.511602	2.546403	-0.061040	3.189340	-0.350980	-0.800962	-0.168884	0.565489	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	63.000000	0.000000	-1.000000	-1.000000	318823.000000	1775715662.849338
-67501.260000	-31037.760000	-12740.760000	-711.045000	-21315.330000	-38037.375000	4392.045000	-28559.970000	3.623239	1.284109	1.880831	3.869938	2.111092	3.544940	-0.813419	0.299199	-0.061040	3.189340	-0.350980	-0.800962	-0.168884	0.565489	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	63.000000	0.000000	-1.000000	-1.000000	318824.000000	1775715662.849349
-67502.115000	-31038.120000	-12741.255000	-710.640000	-21315.105000	-38035.440000	4394.475000	-28560.645000	-2.421230	-1.087039	-0.422747	1.491818	0.738012	0.134818	-2.442382	-2.716187	-0.061040	3.189340	-0.350980	-0.800962	-0.168884	0.565489	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	63.000000	0.000000	-1.000000	-1.000000	318825.000000	1775715662.849363
-67500.270000	-31036.590000	-12739.410000	-709.380000	-21315.105000	-38037.465000	4395.240000	-28559.880000	-8.460314	-3.648391	-2.685207	-0.981166	-1.400323	-3.357099	-2.337215	-5.036804	-0.061040	3.189340	-0.350980	-0.800962	-0.168884	0.565489	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	63.000000	0.000000	-1.000000	-1.000000	318826.000000	1775715662.849374
-67500.180000	-31036.455000	-12739.725000	-711.450000	-21317.580000	-38040.840000	4390.965000	-28561.230000	-10.571045	-4.436880	-3.325942	-2.202423	-2.900622	-4.974154	-1.003682	-5.059787	-0.061040	3.189340	-0.350980	-0.800962	-0.168884	0.565489	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	63.000000	0.000000	-1.000000	-1.000000	318827.000000	1775715662.849387
-67493.790000	-31027.410000	-12731.625000	-706.275000	-21305.070000	-38029.320000	4389.570000	-28557.540000	-7.142980	-2.470906	-1.732694	-1.770053	-2.644748	-4.001378	0.240884	-2.481819	-0.061040	3.189340	-0.350980	-0.800962	-0.168884	0.565489	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	63.000000	0.000000	-1.000000	-1.000000	318828.000000	1775715662.849397
-67488.165000	-31023.855000	-12727.530000	-703.260000	-21294.180000	-38025.045000	4383.495000	-28555.965000	-0.094735	1.413496	1.335748	-0.158048	-0.278963	-0.793769	0.497231	1.411388	-0.061040	3.189340	-0.350980	-0.800962	-0.168884	0.565489	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	63.000000	0.000000	-1.000000	-1.000000	318829.000000	1775715662.849410
-67492.530000	-31025.745000	-12724.155000	-698.670000	-21291.615000	-38027.880000	4380.300000	-28559.115000	6.788965	5.082781	4.287385	1.781117	3.314863	3.129700	-0.176241	4.674428	-0.061040	3.189340	-0.350980	-0.800962	-0.168884	0.565489	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	63.000000	0.000000	-1.000000	-1.000000	318830.000000	1775715662.849421
-67495.095000	-31027.320000	-12726.720000	-704.070000	-21316.455000	-38039.175000	4379.130000	-28560.420000	9.924299	6.234463	5.383518	2.935530	5.336256	5.144366	-1.016766	5.671636	-0.076300	3.555580	-0.701960	-0.800840	-0.168640	0.565917	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	63.000000	0.000000	-1.000000	-1.000000	318831.000000	1775715662.849434
-67488.165000	-31026.555000	-12729.240000	-699.615000	-21321.585000	-38046.690000	4387.410000	-28555.740000	8.210061	4.152446	3.731740	2.439230	2.929599	3.466785	-0.957420	4.196285	-0.076300	3.555580	-0.701960	-0.800840	-0.168640	0.565917	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	63.000000	0.000000	-1.000000	-1.000000	318832.000000	1775715662.849444
-67496.535000	-31031.955000	-12730.140000	-695.205000	-21309.030000	-38041.965000	4396.050000	-28559.115000	3.532733	0.193130	0.027510	0.656673	-2.738991	-0.750814	0.742280	1.545293	-0.076300	3.555580	-0.701960	-0.800840	-0.168640	0.565917	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	63.000000	0.000000	-1.000000	-1.000000	318833.000000	1775715662.849457
-67503.825000	-31041.540000	-12744.495000	-713.340000	-21320.595000	-38041.965000	4402.395000	-28564.200000	-1.593967	-3.715395	-3.992377	-1.402290	-6.862334	-4.099072	3.622771	-0.984489	-0.076300	3.555580	-0.701960	-0.800840	-0.168640	0.565917	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	63.000000	0.000000	-1.000000	-1.000000	318834.000000	1775715662.849467
