Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-24234.795000	-8391.960000	7436.295000	22539.420000	14717.520000	-2648.970000	-7339.635000	9307.755000	0.228037	-2.309337	-6.232072	-8.046965	-19.287121	-11.440290	-0.196043	1.706171	1.373400	1.083460	-0.930860	-0.646788	-0.277160	0.697569	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	59.000000	0.000000	-1.000000	-1.000000	147923.000000	1775777019.970394
-24232.230000	-8386.920000	7446.555000	22551.570000	14734.575000	-2645.910000	-7342.245000	9307.170000	-1.230630	-1.017259	2.969850	6.620328	3.170968	0.149071	-4.197543	-1.310121	1.373400	1.083460	-0.930860	-0.646788	-0.277160	0.697569	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	59.000000	0.000000	-1.000000	-1.000000	147924.000000	1775777019.983877
-24244.695000	-8398.575000	7436.745000	22540.905000	14732.145000	-2639.115000	-7344.315000	9294.300000	-1.681661	1.255070	11.319611	18.523251	24.174384	12.011162	-6.406111	-3.356422	1.373400	1.083460	-0.930860	-0.646788	-0.277160	0.697569	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	59.000000	0.000000	-1.000000	-1.000000	147925.000000	1775777019.983902
-24236.190000	-8393.310000	7435.935000	22535.325000	14726.340000	-2623.230000	-7330.905000	9305.010000	-1.451018	2.610913	13.776319	20.895396	32.084764	17.970011	-5.269389	-3.961997	1.373400	1.083460	-0.930860	-0.646788	-0.277160	0.697569	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	59.000000	0.000000	-1.000000	-1.000000	147926.000000	1775777019.983932
-24228.045000	-8388.495000	7430.355000	22523.895000	14700.780000	-2641.950000	-7325.280000	9314.190000	-0.749202	2.064507	8.649344	12.221107	22.978552	15.789245	-0.874858	-2.780989	1.373400	1.083460	-0.930860	-0.646788	-0.277160	0.697569	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	59.000000	0.000000	-1.000000	-1.000000	147927.000000	1775777019.983943
-24220.845000	-8386.425000	7422.705000	22516.335000	14683.635000	-2656.440000	-7319.610000	9321.750000	0.887701	0.706032	-0.798314	-2.266301	2.319417	6.454603	4.719975	0.400490	1.373400	1.083460	-0.930860	-0.646788	-0.277160	0.697569	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	59.000000	0.000000	-1.000000	-1.000000	147928.000000	1775777019.983960
-24221.520000	-8388.855000	7420.905000	22515.345000	14682.645000	-2656.980000	-7318.980000	9319.095000	2.927403	-0.363996	-9.352275	-14.581327	-18.676435	-6.329984	8.317511	4.052537	1.373400	1.083460	-0.930860	-0.646788	-0.277160	0.697569	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	59.000000	0.000000	-1.000000	-1.000000	147929.000000	1775777019.983971
-24224.805000	-8389.845000	7426.890000	22524.705000	14699.610000	-2647.710000	-7324.020000	9313.965000	3.613164	-1.156316	-12.910373	-18.705392	-28.843526	-16.102140	7.675788	5.417632	1.373400	1.083460	-0.930860	-0.646788	-0.277160	0.697569	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	59.000000	0.000000	-1.000000	-1.000000	147930.000000	1775777019.989240
-24235.695000	-8398.170000	7427.655000	22531.095000	14709.060000	-2647.755000	-7339.995000	9302.355000	1.631424	-2.051468	-10.158874	-13.350958	-23.323562	-17.502519	2.709663	2.915358	1.373400	1.083460	-0.930860	-0.646788	-0.277160	0.697569	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	59.000000	0.000000	-1.000000	-1.000000	147931.000000	1775777019.989262
-24237.405000	-8397.360000	7433.370000	22539.330000	14725.845000	-2645.325000	-7344.765000	9300.195000	-2.470962	-3.022607	-3.117674	-2.217274	-6.453930	-10.699623	-4.523070	-2.328706	2.762060	1.022420	-0.732480	-0.645201	-0.275207	0.697447	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	59.000000	0.000000	-1.000000	-1.000000	147932.000000	1775777019.989288
