Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-1604.745000	-533.520000	5416.470000	29167.155000	22598.505000	14387.085000	-31303.350000	-15902.325000	1.174773	1.357881	1.194794	1.488034	2.096650	0.768456	-2.580497	0.308218	0.549360	2.472120	-3.189340	-0.895444	-0.064148	0.426391	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355176.000000	1775778983.153469
-1606.095000	-535.815000	5412.105000	29152.755000	22588.605000	14386.365000	-31304.745000	-15904.305000	0.405955	0.831677	0.752299	-1.814314	1.864959	1.693922	-1.418028	-0.479003	0.549360	2.472120	-3.189340	-0.895444	-0.064148	0.426391	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355177.000000	1775778983.153496
-1605.510000	-534.645000	5413.995000	29155.410000	22592.520000	14399.910000	-31303.800000	-15904.305000	-0.939076	-0.530603	-0.711689	-5.612653	-0.559297	3.612159	-0.147353	-1.653440	0.549360	2.472120	-3.189340	-0.895444	-0.064148	0.426391	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355178.000000	1775778983.153525
-1608.390000	-538.965000	5409.855000	29157.120000	22604.310000	14488.155000	-31292.910000	-15904.935000	-1.857231	-1.680155	-1.984948	-7.926768	-3.135816	6.722254	0.649344	-2.343117	0.549360	2.472120	-3.189340	-0.895444	-0.064148	0.426391	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355179.000000	1775778983.153538
-1612.305000	-543.105000	5406.435000	29155.005000	22599.630000	14490.495000	-31293.315000	-15907.995000	-1.786404	-1.900110	-2.094988	-6.725562	-3.324618	11.705388	1.250646	-1.930184	0.152600	0.839300	-0.854560	-0.893552	-0.062927	0.426085	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355180.000000	1775778983.157183
-1614.060000	-545.310000	5403.825000	29152.170000	22590.900000	14450.130000	-31296.465000	-15909.345000	-1.012688	-1.330635	-1.172547	-2.477011	-1.360783	14.018672	1.535530	-0.697693	0.152600	0.839300	-0.854560	-0.893552	-0.062927	0.426085	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355181.000000	1775778983.157207
-1614.645000	-548.370000	5400.180000	29149.245000	22588.020000	14446.125000	-31293.180000	-15908.040000	0.007016	-0.360249	0.130603	2.281099	0.302745	5.523639	0.835548	0.695266	0.152600	0.839300	-0.854560	-0.893552	-0.062927	0.426085	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355182.000000	1775778983.162710
-1617.165000	-550.530000	5396.535000	29145.735000	22583.295000	14431.590000	-31297.545000	-15910.065000	1.012140	0.705632	1.222884	5.220377	0.329838	-13.019754	-0.786711	1.806756	0.152600	0.839300	-0.854560	-0.893552	-0.062927	0.426085	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355183.000000	1775778983.162738
-1612.620000	-546.345000	5400.180000	29148.435000	22588.020000	14435.280000	-31296.645000	-15906.555000	1.850857	1.705247	1.882854	5.639963	-0.418578	-30.185993	-2.465141	2.418346	0.152600	0.839300	-0.854560	-0.893552	-0.062927	0.426085	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355184.000000	1775778983.177724
-1615.770000	-549.270000	5398.380000	29147.760000	22589.370000	14445.135000	-31298.220000	-15909.615000	2.424223	2.586032	2.315866	4.380738	-0.357059	-34.654030	-3.328787	2.444349	0.152600	0.839300	-0.854560	-0.893552	-0.062927	0.426085	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355185.000000	1775778983.177749
-1611.585000	-544.770000	5401.350000	29149.020000	22589.820000	14444.370000	-31298.355000	-15904.845000	2.553996	3.106224	2.633344	2.661296	1.051499	-23.605494	-2.943780	1.925417	0.152600	0.839300	-0.854560	-0.893552	-0.062927	0.426085	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355186.000000	1775778983.177777
-1609.425000	-542.340000	5404.230000	29151.450000	22590.135000	14436.225000	-31300.470000	-15903.540000	2.152874	3.008844	2.664566	1.194523	2.820469	-3.824861	-1.542352	1.126161	0.152600	0.839300	-0.854560	-0.893552	-0.062927	0.426085	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355187.000000	1775778983.177788
-1607.715000	-539.325000	5408.280000	29155.545000	22591.125000	14433.480000	-31302.000000	-15903.585000	1.395207	2.332255	2.304427	0.245225	3.606379	13.895550	0.151695	0.357302	0.152600	0.839300	-0.854560	-0.893552	-0.062927	0.426085	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355188.000000	1775778983.177800
-1603.980000	-534.060000	5415.120000	29162.160000	22596.435000	14436.495000	-31301.235000	-15901.020000	0.477973	1.276234	1.639072	-0.120115	2.987563	22.477748	1.470078	-0.334102	0.152600	0.839300	-0.854560	-0.893552	-0.062927	0.426085	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355189.000000	1775778983.177810
-1602.900000	-530.505000	5420.430000	29167.110000	22601.160000	14431.320000	-31305.690000	-15901.695000	-0.443130	0.117814	0.860333	-0.020398	1.608917	21.427719	2.106789	-0.964554	-1.175020	-0.381500	0.518840	-0.898985	-0.063598	0.427062	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355190.000000	1775778983.177821
-1597.860000	-525.915000	5425.830000	29169.495000	22605.165000	14429.880000	-31303.080000	-15895.890000	-1.188691	-0.891348	0.069335	0.123655	0.333188	14.242310	2.048055	-1.372182	-1.175020	-0.381500	0.518840	-0.898985	-0.063598	0.427062	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355191.000000	1775778983.177832
-1601.280000	-531.945000	5420.025000	29159.595000	22599.405000	14429.205000	-31301.100000	-15896.070000	-1.676065	-1.807563	-0.974297	-0.464837	-0.693154	5.240186	1.632783	-1.329296	-1.175020	-0.381500	0.518840	-0.898985	-0.063598	0.427062	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355192.000000	1775778983.180766
-1606.365000	-539.820000	5407.290000	29147.940000	22591.170000	14430.960000	-31299.345000	-15898.680000	-2.154422	-3.069529	-2.866419	-2.525818	-2.092074	-2.027553	1.349061	-0.974617	-1.175020	-0.381500	0.518840	-0.898985	-0.063598	0.427062	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355193.000000	1775778983.180789
-1606.995000	-541.305000	5404.635000	29145.015000	22589.505000	14436.585000	-31297.590000	-15899.130000	-2.861907	-4.729396	-5.645888	-5.612399	-4.100889	-5.623674	1.276258	-0.831889	-1.175020	-0.381500	0.518840	-0.898985	-0.063598	0.427062	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355194.000000	1775778983.184502
-1607.175000	-540.540000	5407.380000	29149.020000	22590.270000	14434.470000	-31300.335000	-15899.670000	-3.314525	-5.663248	-7.664605	-7.491283	-5.580331	-5.591604	1.028386	-1.062950	-1.175020	-0.381500	0.518840	-0.898985	-0.063598	0.427062	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355195.000000	1775778983.184533
-1604.700000	-538.065000	5397.750000	29148.345000	22588.605000	14425.380000	-31306.500000	-15899.445000	-2.651426	-4.458475	-6.868752	-5.917717	-5.002306	-3.791820	0.100211	-1.239986	-1.175020	-0.381500	0.518840	-0.898985	-0.063598	0.427062	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355196.000000	1775778983.199956
-1600.560000	-533.295000	5399.010000	29152.395000	22590.765000	14412.780000	-31311.765000	-15897.870000	-0.605952	-0.968627	-3.233015	-1.045700	-2.171861	-2.697005	-1.640904	-0.895972	-1.175020	-0.381500	0.518840	-0.898985	-0.063598	0.427062	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355197.000000	1775778983.199984
-1600.695000	-530.775000	5409.720000	29158.155000	22595.670000	14407.335000	-31313.565000	-15898.140000	2.100269	3.403859	1.710539	4.748298	1.720737	-3.341494	-3.482758	0.021618	-1.175020	-0.381500	0.518840	-0.898985	-0.063598	0.427062	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355198.000000	1775778983.200014
-1594.530000	-524.205000	5421.780000	29171.745000	22605.255000	14409.270000	-31309.200000	-15892.020000	4.190235	6.682948	6.689863	9.014780	5.249076	-4.355909	-4.068749	1.186881	-1.175020	-0.381500	0.518840	-0.898985	-0.063598	0.427062	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355199.000000	1775778983.200028
-1594.035000	-524.880000	5424.435000	29176.920000	22601.520000	14398.650000	-31305.825000	-15888.600000	4.762079	7.488098	10.424873	10.488541	7.212482	-3.671841	-2.440049	2.256492	-2.624720	0.763000	-2.624720	-0.904111	-0.065979	0.424865	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355200.000000	1775778983.200043
-1601.505000	-533.430000	5418.585000	29179.215000	22594.680000	14398.695000	-31303.665000	-15892.335000	3.520904	5.363640	10.936381	8.763836	6.433207	-0.981973	0.894740	2.780996	-2.624720	0.763000	-2.624720	-0.904111	-0.065979	0.424865	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355201.000000	1775778983.200055
-1603.890000	-533.880000	5419.485000	29176.830000	22594.635000	14398.110000	-31306.005000	-15895.035000	0.620357	0.874291	6.974421	4.044368	2.633274	2.429939	4.032879	2.075465	-2.624720	0.763000	-2.624720	-0.904111	-0.065979	0.424865	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355202.000000	1775778983.206595
-1606.500000	-536.040000	5415.885000	29151.630000	22589.280000	14392.890000	-31309.515000	-15898.050000	-2.859378	-4.021245	-0.071960	-2.807978	-2.480344	5.147192	5.009401	0.010904	-2.624720	0.763000	-2.624720	-0.904111	-0.065979	0.424865	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355203.000000	1775778983.206623
-1605.420000	-538.065000	5411.340000	29141.910000	22589.280000	14411.880000	-31302.765000	-15896.610000	-5.095293	-6.894999	-6.901105	-10.276244	-6.271496	6.455846	3.410487	-2.378983	-2.624720	0.763000	-2.624720	-0.904111	-0.065979	0.424865	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355204.000000	1775778983.206654
-1603.575000	-539.010000	5409.585000	29148.480000	22592.745000	14440.320000	-31290.840000	-15893.775000	-4.808159	-6.616263	-10.677832	-15.308034	-6.965806	7.188721	0.919819	-3.546759	-2.624720	0.763000	-2.624720	-0.904111	-0.065979	0.424865	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355205.000000	1775778983.206668
-1605.960000	-539.730000	5409.000000	29149.920000	22591.845000	14441.220000	-31296.870000	-15896.160000	-2.243962	-3.791582	-10.270634	-14.181594	-4.448713	8.246559	-0.527980	-2.748720	-2.624720	0.763000	-2.624720	-0.904111	-0.065979	0.424865	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355206.000000	1775778983.207826
-1610.415000	-544.320000	5402.835000	29145.915000	22589.100000	14440.905000	-31300.560000	-15898.500000	0.917087	-0.071240	-6.420693	-6.461484	-0.363828	7.854733	-1.066404	-0.756120	-2.624720	0.763000	-2.624720	-0.904111	-0.065979	0.424865	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355207.000000	1775778983.207842
-1604.430000	-537.255000	5409.270000	29153.610000	22593.870000	14429.205000	-31296.780000	-15893.010000	2.971819	2.943705	-1.121924	3.847003	3.045874	3.214747	-1.886274	1.095957	-2.624720	0.763000	-2.624720	-0.904111	-0.065979	0.424865	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355208.000000	1775778983.212605
-1602.945000	-533.835000	5414.130000	29159.730000	22597.110000	14416.290000	-31296.960000	-15892.650000	3.595435	4.689603	3.830766	11.941586	4.665474	-5.582764	-2.902824	2.231118	-2.624720	0.763000	-2.624720	-0.904111	-0.065979	0.424865	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355209.000000	1775778983.212632
-1604.070000	-535.680000	5411.520000	29158.785000	22596.120000	14430.060000	-31297.455000	-15895.215000	3.296186	5.218829	7.251227	15.085184	4.591254	-14.462704	-3.183267	2.573507	-3.647140	1.251320	-4.333840	-0.900388	-0.067810	0.424437	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355210.000000	1775778983.223304
-1604.610000	-537.840000	5408.145000	29155.635000	22591.935000	14433.795000	-31299.975000	-15895.620000	2.279637	4.281520	8.008065	12.654952	3.090324	-17.731315	-2.467719	1.954549	-3.647140	1.251320	-4.333840	-0.900388	-0.067810	0.424437	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355211.000000	1775778983.223331
-1601.145000	-534.105000	5411.430000	29158.560000	22593.240000	14428.890000	-31305.240000	-15893.280000	0.723262	1.910248	5.766299	6.036123	0.547078	-13.049708	-1.317427	0.600054	-3.647140	1.251320	-4.333840	-0.900388	-0.067810	0.424437	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355212.000000	1775778983.223360
-1597.680000	-528.705000	5416.245000	29163.420000	22594.005000	14426.370000	-31308.345000	-15891.705000	-0.700497	-0.751953	1.974140	-1.533664	-1.993734	-3.793269	-0.424398	-0.653913	-3.647140	1.251320	-4.333840	-0.900388	-0.067810	0.424437	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355213.000000	1775778983.223373
-1596.780000	-529.020000	5415.660000	29163.690000	22594.545000	14430.285000	-31306.815000	-15890.850000	-1.354187	-2.323078	-1.226959	-6.727251	-3.306865	4.683096	0.108785	-1.133182	-3.647140	1.251320	-4.333840	-0.900388	-0.067810	0.424437	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355214.000000	1775778983.223389
-1598.895000	-532.665000	5412.240000	29159.550000	22593.960000	14440.455000	-31302.810000	-15890.715000	-1.356175	-2.626091	-2.914953	-8.313038	-3.007808	9.532980	0.847367	-0.894609	-3.647140	1.251320	-4.333840	-0.900388	-0.067810	0.424437	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355215.000000	1775778983.223400
-1599.615000	-534.195000	5410.755000	29159.100000	22594.905000	14449.995000	-31295.250000	-15891.165000	-1.335582	-2.516577	-3.528466	-7.252838	-1.665304	10.920557	2.283438	-0.461542	-3.647140	1.251320	-4.333840	-0.900388	-0.067810	0.424437	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	54.000000	0.000000	-1.000000	-1.000000	355216.000000	1775778983.229196
