Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-19048.185000	-14993.010000	8439.120000	279667.530000	303617.565000	278884.845000	-9289.260000	-26122.635000	1.710774	2.481084	3.379826	-8.155286	-4.448748	-4.657059	-1.029929	0.029725	2.136400	0.457800	-1.876980	-0.679747	-0.014099	0.719847	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	53.000000	0.000000	-1.000000	-1.000000	337542.000000	1775787588.516162
-19051.065000	-15001.830000	8428.095000	279671.085000	303607.395000	278884.395000	-9280.665000	-26117.775000	-2.045551	-1.408505	0.238204	-4.341092	7.897847	-1.833174	-2.498690	-5.394164	2.136400	0.457800	-1.876980	-0.679747	-0.014099	0.719847	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	53.000000	0.000000	-1.000000	-1.000000	337543.000000	1775787588.516190
-19060.740000	-15014.880000	8414.775000	279674.010000	303602.625000	278883.270000	-9289.845000	-26121.015000	-4.961911	-5.037526	-3.523551	2.482055	16.523843	2.475956	-1.234122	-7.319597	2.136400	0.457800	-1.876980	-0.679747	-0.014099	0.719847	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	53.000000	0.000000	-1.000000	-1.000000	337544.000000	1775787588.516201
-19065.240000	-15015.420000	8414.595000	279674.775000	303603.795000	278883.720000	-9297.765000	-26128.170000	-5.735324	-6.819589	-6.253928	7.550339	15.049866	4.950667	0.442955	-5.564654	2.136400	0.457800	-1.876980	-0.679747	-0.014099	0.719847	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	53.000000	0.000000	-1.000000	-1.000000	337545.000000	1775787588.518695
-19053.720000	-14998.860000	8432.280000	279674.460000	303595.785000	278885.340000	-9297.855000	-26121.735000	-4.040582	-5.299808	-5.810890	7.718466	4.714602	3.994368	0.047625	-2.253232	2.136400	0.457800	-1.876980	-0.679747	-0.014099	0.719847	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	53.000000	0.000000	-1.000000	-1.000000	337546.000000	1775787588.518722
-19047.825000	-14995.215000	8435.070000	279672.255000	303598.080000	278885.610000	-9295.695000	-26115.345000	0.050743	0.034111	-1.028327	3.401041	-7.647188	0.742466	-1.922483	1.020553	2.136400	0.457800	-1.876980	-0.679747	-0.014099	0.719847	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	53.000000	0.000000	-1.000000	-1.000000	337547.000000	1775787588.523760
-19051.920000	-15006.150000	8421.660000	279665.235000	303596.010000	278881.020000	-9298.980000	-26118.720000	5.097629	6.671932	5.647055	-2.692061	-15.336685	-2.700675	-3.200405	3.663497	2.136400	0.457800	-1.876980	-0.679747	-0.014099	0.719847	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	53.000000	0.000000	-1.000000	-1.000000	337548.000000	1775787588.523786
-19048.770000	-15004.260000	8423.955000	279663.930000	303601.005000	278881.110000	-9295.020000	-26115.840000	8.191677	10.069406	9.317122	-7.593039	-15.322618	-4.880949	-2.549973	4.885537	2.136400	0.457800	-1.876980	-0.679747	-0.014099	0.719847	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	53.000000	0.000000	-1.000000	-1.000000	337549.000000	1775787588.526878
-19038.465000	-14990.805000	8439.885000	279660.375000	303587.640000	278874.765000	-9284.805000	-26106.255000	7.666171	8.388430	7.987739	-9.299492	-9.133750	-5.295667	-0.195832	4.307157	2.136400	0.457800	-1.876980	-0.679747	-0.014099	0.719847	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	53.000000	0.000000	-1.000000	-1.000000	337550.000000	1775787588.526901
-19043.280000	-14994.225000	8436.420000	279662.220000	303597.810000	278872.785000	-9281.700000	-26109.270000	4.427086	3.908552	4.055702	-7.319315	-1.002895	-4.190971	2.938987	2.644458	0.259420	0.030520	-1.907500	-0.676939	-0.014282	0.720823	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	53.000000	0.000000	-1.000000	-1.000000	337551.000000	1775787588.533430
