Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-31879.800000	-62331.120000	-45460.170000	-10178.010000	-815.670000	-36546.165000	-23849.145000	-28067.040000	-0.775614	-2.889213	-2.102645	-0.543682	-4.086216	-14.923098	-1.439066	-0.390287	-0.488320	1.083460	0.167860	-0.719053	0.050964	0.675291	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	174201.000000	1775713271.774081
-31880.655000	-62332.065000	-45459.630000	-10176.165000	-815.985000	-36499.545000	-23844.645000	-28067.670000	2.533153	1.082087	1.786135	2.942451	-2.337306	-28.673459	-1.381763	1.563652	-0.488320	1.083460	0.167860	-0.719053	0.050964	0.675291	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	174202.000000	1775713271.774107
-31883.715000	-62336.295000	-45467.100000	-10179.855000	-813.555000	-36457.065000	-23843.925000	-28071.090000	4.657646	4.390158	4.597009	4.837590	-0.277577	-26.129171	-0.303484	2.878904	-0.488320	1.083460	0.167860	-0.719053	0.050964	0.675291	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	174203.000000	1775713271.781238
-31884.210000	-62336.565000	-45470.430000	-10183.365000	-809.190000	-36509.715000	-23843.700000	-28071.045000	4.606811	5.673245	5.144302	4.616696	2.108638	-8.017830	1.334733	2.831977	-0.488320	1.083460	0.167860	-0.719053	0.050964	0.675291	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	174204.000000	1775713271.781265
-31881.645000	-62333.685000	-45465.165000	-10180.755000	-811.170000	-36542.655000	-23842.800000	-28069.830000	2.714455	4.816413	3.591486	2.712836	4.467853	10.453492	2.403162	1.562644	-0.488320	1.083460	0.167860	-0.719053	0.050964	0.675291	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	174205.000000	1775713271.782647
-31888.305000	-62340.255000	-45472.590000	-10187.775000	-816.795000	-36538.380000	-23847.885000	-28075.500000	0.279188	2.802326	1.432164	0.336329	5.582564	15.250345	2.164004	-0.051377	-0.488320	1.083460	0.167860	-0.719053	0.050964	0.675291	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	174206.000000	1775713271.782669
-31881.510000	-62333.730000	-45466.245000	-10181.160000	-809.640000	-36539.415000	-23841.225000	-28067.805000	-1.581318	0.647973	-0.076306	-1.366520	4.563121	7.967028	0.804756	-1.206658	-0.488320	1.083460	0.167860	-0.719053	0.050964	0.675291	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	174207.000000	1775713271.787105
-31881.465000	-62334.045000	-45465.345000	-10180.080000	-810.270000	-36535.905000	-23840.955000	-28066.905000	-2.180473	-0.842887	-0.502591	-1.708708	2.142802	-0.465574	-0.610553	-1.313879	-0.488320	1.083460	0.167860	-0.719053	0.050964	0.675291	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	174208.000000	1775713271.787128
-31883.895000	-62335.395000	-45464.490000	-10179.090000	-808.020000	-36521.640000	-23846.940000	-28069.020000	-1.507632	-1.320314	-0.015963	-0.713823	-0.190590	-2.543152	-1.260848	-0.412649	-0.488320	1.083460	0.167860	-0.719053	0.050964	0.675291	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	174209.000000	1775713271.790582
-31884.660000	-62335.170000	-45463.815000	-10176.840000	-804.465000	-36516.780000	-23846.400000	-28069.515000	-0.468325	-1.225954	0.621845	0.700574	-1.602946	1.939636	-1.403749	0.521043	-0.488320	1.083460	0.167860	-0.719053	0.050964	0.675291	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	174210.000000	1775713271.790603
