Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-29556.315000	-51111.495000	-45460.035000	-25217.055000	-12662.640000	-59294.565000	29392.335000	36957.870000	-1.275267	-0.716370	-0.617530	-2.079110	-1.449789	3.264072	-0.767839	-0.945929	0.259420	2.563680	1.693860	-0.665037	0.100158	0.723936	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.000000	0.000000	-1.000000	-1.000000	315666.000000	1775713554.663970
-29562.840000	-51115.680000	-45464.625000	-25220.655000	-12661.020000	-59290.380000	29396.475000	36956.835000	-0.703834	-0.686643	-0.578382	-1.401340	-1.020030	8.085935	-0.579061	-0.303577	0.259420	2.563680	1.693860	-0.665037	0.100158	0.723936	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.000000	0.000000	-1.000000	-1.000000	315667.000000	1775713554.740760
-29565.720000	-51128.100000	-45481.995000	-25235.550000	-12661.155000	-59301.765000	29411.865000	36963.045000	0.062133	-0.972146	-1.030109	-0.955692	-0.676873	7.040344	0.704416	0.981316	0.259420	2.563680	1.693860	-0.665037	0.100158	0.723936	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.000000	0.000000	-1.000000	-1.000000	315668.000000	1775713554.740788
-29567.565000	-51136.020000	-45492.615000	-25251.165000	-12681.045000	-59299.740000	29413.530000	36968.085000	0.182835	-2.228973	-2.912986	-2.128956	-1.121846	0.910115	2.970891	2.290271	0.259420	2.563680	1.693860	-0.665037	0.100158	0.723936	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.000000	0.000000	-1.000000	-1.000000	315669.000000	1775713554.740816
-29565.720000	-51132.690000	-45487.665000	-25248.015000	-12683.655000	-59271.930000	29412.495000	36970.245000	-0.240131	-3.804857	-5.311430	-4.551836	-2.831588	-5.626377	4.738843	3.022929	0.259420	2.563680	1.693860	-0.665037	0.100158	0.723936	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.000000	0.000000	-1.000000	-1.000000	315670.000000	1775713554.740829
-29558.565000	-51123.825000	-45481.455000	-25245.360000	-12693.510000	-59318.415000	29410.605000	36972.135000	-0.270098	-3.609919	-5.370698	-5.495373	-4.946879	-8.321351	4.036353	2.669911	-0.854560	2.807840	0.900340	-0.665465	0.099243	0.722838	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.000000	0.000000	-1.000000	-1.000000	315671.000000	1775713554.740918
-29557.305000	-51123.015000	-45479.790000	-25244.910000	-12693.195000	-59310.765000	29413.305000	36974.655000	0.715592	-0.421276	-1.483384	-2.748011	-5.475063	-7.828564	0.650272	1.131778	-0.854560	2.807840	0.900340	-0.665465	0.099243	0.722838	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.000000	0.000000	-1.000000	-1.000000	315672.000000	1775713554.740932
-29552.445000	-51116.130000	-45470.430000	-25234.920000	-12682.440000	-59323.815000	29419.470000	36981.045000	2.209027	4.309975	4.606178	2.827404	-2.975104	-6.561032	-3.338306	-0.899694	-0.854560	2.807840	0.900340	-0.665465	0.099243	0.722838	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.000000	0.000000	-1.000000	-1.000000	315673.000000	1775713554.740948
-29558.745000	-51120.810000	-45476.460000	-25243.065000	-12698.730000	-59326.380000	29414.655000	36974.025000	2.916923	7.622285	9.345413	8.139266	1.976969	-4.493850	-5.555121	-2.523866	-0.854560	2.807840	0.900340	-0.665465	0.099243	0.722838	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.000000	0.000000	-1.000000	-1.000000	315674.000000	1775713554.740961
-29558.790000	-51118.650000	-45472.905000	-25239.195000	-12698.640000	-59314.500000	29413.260000	36972.945000	1.853399	7.411622	9.959864	10.085645	6.416488	-0.726205	-5.437524	-3.549759	-0.854560	2.807840	0.900340	-0.665465	0.099243	0.722838	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.000000	0.000000	-1.000000	-1.000000	315675.000000	1775713554.740975
-29557.395000	-51114.555000	-45467.730000	-25234.920000	-12699.045000	-59330.295000	29411.100000	36975.105000	-0.619298	3.926717	6.326995	7.772048	7.670941	4.398047	-3.948826	-4.027058	-0.854560	2.807840	0.900340	-0.665465	0.099243	0.722838	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.000000	0.000000	-1.000000	-1.000000	315676.000000	1775713554.740987
-29560.590000	-51116.220000	-45469.125000	-25237.665000	-12702.555000	-59345.460000	29407.725000	36973.305000	-2.964125	-0.635371	0.838212	2.960297	5.846014	8.305612	-2.085920	-3.550047	-0.854560	2.807840	0.900340	-0.665465	0.099243	0.722838	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.000000	0.000000	-1.000000	-1.000000	315677.000000	1775713554.741002
-29562.345000	-51117.705000	-45469.080000	-25237.350000	-12703.230000	-59356.125000	29405.430000	36972.675000	-3.972264	-4.176975	-3.924493	-1.981112	2.629971	8.073933	-0.384919	-1.978478	-0.854560	2.807840	0.900340	-0.665465	0.099243	0.722838	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.000000	0.000000	-1.000000	-1.000000	315678.000000	1775713554.741014
-29560.275000	-51116.490000	-45465.345000	-25231.455000	-12694.770000	-59319.270000	29409.885000	36975.645000	-3.430489	-5.801200	-6.561178	-5.357038	-0.224017	4.776621	1.075979	0.151550	-0.854560	2.807840	0.900340	-0.665465	0.099243	0.722838	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	64.000000	0.000000	-1.000000	-1.000000	315679.000000	1775713554.741029
