Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-15289.380000	-14035.635000	7292.025000	45719.370000	18488.385000	15113.880000	-7220.565000	2050.740000	3.487406	3.270963	1.878532	-0.278876	5.253346	2.659646	3.002444	2.571988	-7.019600	3.174080	-1.846460	-0.719786	-0.208923	0.647215	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	53.000000	0.000000	-1.000000	-1.000000	145230.000000	1775800098.723650
-15293.610000	-14039.595000	7292.610000	45729.045000	18497.475000	15120.540000	-7217.595000	2053.710000	3.136113	1.835655	0.630134	-2.164714	1.461237	4.887999	3.985793	1.944723	-7.019600	3.174080	-1.846460	-0.719786	-0.208923	0.647215	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	53.000000	0.000000	-1.000000	-1.000000	145231.000000	1775800098.723661
-15291.720000	-14036.940000	7295.310000	45732.645000	18496.935000	15117.435000	-7217.820000	2056.140000	0.789849	-1.064646	-0.699052	-0.997915	-0.969029	6.290788	4.718837	1.452468	-7.019600	3.174080	-1.846460	-0.719786	-0.208923	0.647215	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	53.000000	0.000000	-1.000000	-1.000000	145232.000000	1775800098.723675
-15288.165000	-14034.915000	7295.535000	45729.810000	18484.920000	15101.010000	-7225.020000	2057.130000	-2.284511	-3.945266	-1.809734	1.564371	-2.388631	5.214130	4.199943	1.179075	-7.019600	3.174080	-1.846460	-0.719786	-0.208923	0.647215	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	53.000000	0.000000	-1.000000	-1.000000	145233.000000	1775800098.723686
-15286.545000	-14033.565000	7297.110000	45730.080000	18472.185000	15091.110000	-7226.505000	2059.560000	-4.119079	-5.088033	-2.561435	2.312693	-4.565420	0.515149	1.578273	0.639827	-7.019600	3.174080	-1.846460	-0.719786	-0.208923	0.647215	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	53.000000	0.000000	-1.000000	-1.000000	145234.000000	1775800098.723700
-15288.750000	-14036.355000	7295.310000	45727.200000	18461.565000	15081.030000	-7228.305000	2059.785000	-3.924979	-4.140274	-2.883395	0.099708	-7.842762	-6.127064	-2.262139	-0.360435	-7.019600	3.174080	-1.846460	-0.719786	-0.208923	0.647215	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	53.000000	0.000000	-1.000000	-1.000000	145235.000000	1775800098.723710
-15283.620000	-14030.550000	7297.515000	45721.350000	18455.220000	15063.885000	-7239.105000	2058.210000	-2.388844	-2.035129	-2.757067	-3.677482	-10.269984	-11.107360	-5.399844	-1.604507	-7.019600	3.174080	-1.846460	-0.719786	-0.208923	0.647215	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	53.000000	0.000000	-1.000000	-1.000000	145236.000000	1775800098.730609
-15284.025000	-14031.360000	7287.660000	45695.655000	18453.285000	15049.710000	-7255.440000	2047.320000	-0.517458	0.190704	-2.315656	-7.185704	-9.376225	-11.961813	-6.862445	-2.903703	-7.019600	3.174080	-1.846460	-0.719786	-0.208923	0.647215	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	53.000000	0.000000	-1.000000	-1.000000	145237.000000	1775800098.730638
-15299.325000	-14046.705000	7284.465000	45715.995000	18494.190000	15104.430000	-7228.980000	2048.625000	0.666505	1.524753	-1.954812	-8.976649	-3.677694	-7.435732	-6.252848	-4.084713	-7.019600	3.174080	-1.846460	-0.719786	-0.208923	0.647215	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	53.000000	0.000000	-1.000000	-1.000000	145238.000000	1775800098.730664
-15311.475000	-14060.700000	7274.835000	45712.260000	18499.860000	15133.995000	-7220.340000	2047.860000	0.029835	0.791362	-1.897087	-7.157842	6.353847	3.546713	-2.363511	-4.397105	-7.019600	3.174080	-1.846460	-0.719786	-0.208923	0.647215	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	53.000000	0.000000	-1.000000	-1.000000	145239.000000	1775800098.730674
