Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-11457.405000	-24852.330000	2199.870000	20171.835000	6596.415000	-10909.890000	-47845.710000	-38447.460000	-0.278121	-0.762608	-0.631108	-0.977577	3.488258	-0.875177	-1.005015	-0.858833	-0.808780	1.526000	1.510740	-0.579100	0.168640	0.784483	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	50.000000	0.000000	-1.000000	-1.000000	459794.000000	1775804192.098688
-11456.190000	-24851.430000	2201.130000	20173.275000	6595.695000	-10908.540000	-47846.115000	-38445.705000	-1.772938	-1.882332	-1.542921	-1.559798	6.690315	0.285229	-1.529815	-2.244975	-0.808780	1.526000	1.510740	-0.579100	0.168640	0.784483	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	50.000000	0.000000	-1.000000	-1.000000	459795.000000	1775804192.098725
-11456.055000	-24853.590000	2198.205000	20168.190000	6586.605000	-10911.780000	-47844.765000	-38446.065000	-2.732349	-2.425332	-1.924863	-1.569874	6.650502	1.470551	-1.622027	-2.961735	-0.808780	1.526000	1.510740	-0.579100	0.168640	0.784483	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	50.000000	0.000000	-1.000000	-1.000000	459796.000000	1775804192.106002
-11460.510000	-24858.540000	2193.165000	20162.835000	6581.115000	-10917.405000	-47849.265000	-38452.320000	-2.601353	-2.181770	-1.765921	-1.405084	3.868017	1.753172	-1.389028	-2.706817	-0.808780	1.526000	1.510740	-0.579100	0.168640	0.784483	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	50.000000	0.000000	-1.000000	-1.000000	459797.000000	1775804192.106026
-11460.825000	-24858.270000	2194.785000	20167.200000	6586.110000	-10920.375000	-47851.515000	-38454.390000	-1.707679	-1.528318	-1.447111	-1.437108	-0.029185	0.599650	-1.147885	-1.954809	-0.808780	1.526000	1.510740	-0.579100	0.168640	0.784483	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	50.000000	0.000000	-1.000000	-1.000000	459798.000000	1775804192.106086
-11454.615000	-24851.565000	2201.985000	20173.635000	6591.870000	-10917.990000	-47851.470000	-38449.440000	-0.487490	-0.553248	-0.798421	-1.054392	-2.499675	-1.206912	-1.050872	-1.059689	-0.808780	1.526000	1.510740	-0.579100	0.168640	0.784483	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	50.000000	0.000000	-1.000000	-1.000000	459799.000000	1775804192.106098
-11458.215000	-24856.380000	2196.045000	20167.200000	6588.360000	-10915.245000	-47848.635000	-38448.720000	0.945880	0.900025	0.524112	0.311541	-2.135708	-2.085263	-0.738071	0.250753	3.357200	2.212700	-0.457800	-0.573607	0.165710	0.781919	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	50.000000	0.000000	-1.000000	-1.000000	459800.000000	1775804192.108249
-11459.880000	-24857.955000	2193.480000	20164.455000	6597.405000	-10911.420000	-47847.555000	-38449.620000	2.098160	2.239760	1.829769	1.763740	0.089132	-1.137057	0.194889	1.915903	3.357200	2.212700	-0.457800	-0.573607	0.165710	0.781919	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	50.000000	0.000000	-1.000000	-1.000000	459801.000000	1775804192.108274
-11462.895000	-24863.355000	2188.260000	20160.585000	6599.295000	-10909.215000	-47845.395000	-38448.990000	2.187698	2.426788	1.942838	1.945686	2.325047	1.058807	1.535327	3.090776	3.357200	2.212700	-0.457800	-0.573607	0.165710	0.781919	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	50.000000	0.000000	-1.000000	-1.000000	459802.000000	1775804192.112465
-11467.080000	-24869.565000	2181.960000	20155.005000	6591.420000	-10912.050000	-47846.970000	-38450.655000	1.084187	1.158574	0.638631	0.698662	3.134907	2.936289	2.516710	3.042977	3.357200	2.212700	-0.457800	-0.573607	0.165710	0.781919	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	50.000000	0.000000	-1.000000	-1.000000	459803.000000	1775804192.112495
