Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-17510.265000	-35537.715000	10159.335000	42419.430000	-12843.585000	-12338.325000	-40592.745000	15714.720000	0.448669	-1.921367	6.692206	-9.185311	-4.052769	35.949187	-1.790534	-0.471862	-1.007160	3.372460	-1.464960	-0.680601	-0.226989	0.687559	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	605878.000000	1776577610.952377
-17509.590000	-35539.515000	10160.325000	42420.060000	-12855.420000	-12345.570000	-40595.940000	15716.610000	0.217004	-4.216068	1.952256	-11.900457	-4.195269	46.558698	-2.864017	-1.084377	-1.007160	3.372460	-1.464960	-0.680601	-0.226989	0.687559	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	605879.000000	1776577610.952417
-17507.340000	-35538.210000	10163.880000	42412.950000	-12873.915000	-12360.870000	-40594.905000	15718.815000	-0.538114	-5.967385	-3.574120	-7.488462	0.476746	38.909174	-3.749354	-2.153931	-1.007160	3.372460	-1.464960	-0.680601	-0.226989	0.687559	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	605880.000000	1776577610.956147
-17512.785000	-35543.250000	10162.080000	42413.445000	-12875.940000	-12443.940000	-40598.145000	15715.305000	-0.330150	-4.953766	-4.956729	1.150498	4.076395	12.936998	-3.609340	-1.988548	-1.007160	3.372460	-1.464960	-0.680601	-0.226989	0.687559	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	605881.000000	1776577610.956154
-17515.755000	-35544.555000	10161.315000	42418.035000	-12863.970000	-12427.830000	-40596.390000	15714.135000	0.580261	-1.603026	-2.116179	8.770922	3.651514	-22.306511	-2.178407	-0.627105	-1.007160	3.372460	-1.464960	-0.680601	-0.226989	0.687559	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	605882.000000	1776577610.960193
-17515.440000	-35549.055000	10145.160000	42414.705000	-12867.615000	-12402.495000	-40590.540000	15715.710000	1.255407	2.121209	1.801450	12.263452	1.546072	-48.498861	0.131745	0.923193	-1.007160	3.372460	-1.464960	-0.680601	-0.226989	0.687559	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	605883.000000	1776577610.960200
-17519.445000	-35556.120000	10146.960000	42418.260000	-12867.345000	-12379.995000	-40584.870000	15715.260000	1.371797	4.418206	3.670124	11.147688	0.339574	-49.242201	2.712122	1.995044	-1.007160	3.372460	-1.464960	-0.680601	-0.226989	0.687559	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	605884.000000	1776577610.964255
-17518.365000	-35545.140000	10171.935000	42455.655000	-12825.315000	-12366.675000	-40580.595000	15717.465000	1.141186	4.801399	3.502636	7.448950	0.917766	-24.897256	4.757530	2.435657	-1.007160	3.372460	-1.464960	-0.680601	-0.226989	0.687559	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	605885.000000	1776577610.964266
-17522.775000	-35525.790000	10198.350000	42474.150000	-12802.590000	-12373.020000	-40576.635000	15714.720000	0.816916	4.643648	4.294230	4.765651	4.022738	7.891112	5.340986	2.251071	-1.007160	3.372460	-1.464960	-0.680601	-0.226989	0.687559	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	605886.000000	1776577610.968311
-17507.790000	-35506.215000	10190.475000	42477.660000	-12817.395000	-12422.880000	-40592.565000	15727.185000	0.768237	5.742061	7.160367	4.211743	8.015781	29.212012	3.688558	1.681406	-1.007160	3.372460	-1.464960	-0.680601	-0.226989	0.687559	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	65.000000	0.000000	-1.000000	-1.000000	605887.000000	1776577610.968323
