Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
11311.380000	7118.820000	36372.510000	58847.265000	39432.915000	23413.635000	-7554.420000	6921.495000	-6.513197	-5.926497	-5.134897	-4.184382	4.785828	16.357320	3.491215	-4.567036	-0.244160	3.982860	-5.295220	-0.709715	0.016174	0.684263	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	60.000000	0.000000	-1.000000	-1.000000	1644409.000000	1776579690.533351
11306.025000	7112.340000	36365.040000	58836.195000	39398.490000	23357.385000	-7574.490000	6913.080000	-7.936586	-7.662502	-8.680530	-7.764703	-4.784992	2.004843	4.997551	-5.421317	-0.244160	3.982860	-5.295220	-0.709715	0.016174	0.684263	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	60.000000	0.000000	-1.000000	-1.000000	1644410.000000	1776579690.533367
11307.645000	7111.575000	36362.655000	58836.285000	39401.730000	23363.730000	-7570.350000	6917.085000	-6.334399	-6.967759	-9.766889	-9.162062	-14.789899	-17.541809	3.092617	-4.373190	-3.448760	4.776380	-8.438780	-0.714903	0.018799	0.685240	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	60.000000	0.000000	-1.000000	-1.000000	1644411.000000	1776579690.536080
11314.260000	7119.810000	36368.415000	58840.740000	39410.280000	23371.425000	-7564.545000	6925.320000	-1.733213	-2.977212	-6.587721	-6.504262	-18.649847	-30.444817	-0.850968	-1.260485	-3.448760	4.776380	-8.438780	-0.714903	0.018799	0.685240	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	60.000000	0.000000	-1.000000	-1.000000	1644412.000000	1776579690.536094
11317.365000	7122.735000	36375.705000	58854.060000	39423.510000	23366.745000	-7570.395000	6925.320000	4.385808	3.478029	0.489696	0.260889	-12.222545	-27.692229	-3.588489	3.259805	-3.448760	4.776380	-8.438780	-0.714903	0.018799	0.685240	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	60.000000	0.000000	-1.000000	-1.000000	1644413.000000	1776579690.540030
11320.830000	7125.975000	36379.845000	58860.045000	39426.030000	23365.395000	-7576.920000	6925.095000	9.464710	9.706305	8.660701	8.676752	1.901744	-11.099928	-3.737647	7.161336	-3.448760	4.776380	-8.438780	-0.714903	0.018799	0.685240	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	60.000000	0.000000	-1.000000	-1.000000	1644414.000000	1776579690.540040
11326.455000	7130.250000	36381.960000	58854.915000	39419.370000	23378.040000	-7569.630000	6931.395000	11.227188	12.647952	14.045157	14.549285	15.546440	9.267879	-2.253565	8.311684	-3.448760	4.776380	-8.438780	-0.714903	0.018799	0.685240	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	60.000000	0.000000	-1.000000	-1.000000	1644415.000000	1776579690.543920
11322.540000	7124.985000	36375.075000	58847.310000	39413.970000	23375.970000	-7573.365000	6927.885000	9.003088	10.859463	13.867331	14.178634	20.935260	23.801327	-0.138989	6.312126	-3.448760	4.776380	-8.438780	-0.714903	0.018799	0.685240	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	60.000000	0.000000	-1.000000	-1.000000	1644416.000000	1776579690.543929
11320.020000	7122.195000	36372.105000	58845.870000	39413.115000	23379.480000	-7569.180000	6926.310000	3.689518	5.045057	8.034609	7.269561	16.090886	27.690338	1.950660	2.242535	-3.448760	4.776380	-8.438780	-0.714903	0.018799	0.685240	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	60.000000	0.000000	-1.000000	-1.000000	1644417.000000	1776579690.548271
11320.470000	7123.545000	36372.645000	58843.395000	39408.660000	23378.265000	-7567.920000	6926.535000	-2.681763	-2.311957	-0.606622	-2.386874	5.227294	21.289623	3.338202	-2.274450	-3.448760	4.776380	-8.438780	-0.714903	0.018799	0.685240	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	60.000000	0.000000	-1.000000	-1.000000	1644418.000000	1776579690.548300
11323.485000	7126.605000	36377.685000	58850.055000	39419.145000	23380.920000	-7565.670000	6929.955000	-7.453323	-7.889247	-7.715925	-9.614790	-5.138835	8.953293	3.648525	-5.427008	-3.448760	4.776380	-8.438780	-0.714903	0.018799	0.685240	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	60.000000	0.000000	-1.000000	-1.000000	1644419.000000	1776579690.553693
11314.260000	7118.325000	36373.590000	58850.910000	39429.495000	23384.295000	-7568.730000	6922.035000	-8.895942	-9.604036	-10.272712	-11.240326	-10.060965	-3.521717	2.803492	-6.146889	-3.448760	4.776380	-8.438780	-0.714903	0.018799	0.685240	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	60.000000	0.000000	-1.000000	-1.000000	1644420.000000	1776579690.553704
