Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-3297.240000	-9303.345000	19475.415000	65076.030000	48528.450000	37361.745000	1404.135000	-16621.650000	-9.383763	-14.637966	-16.912440	-4.165756	7.290689	5.291056	-8.616823	-10.838411	1.617560	-1.541260	-3.402980	-0.709227	-0.104797	0.687071	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	56.000000	0.000000	-1.000000	-1.000000	2397940.000000	1776581199.582860
-3292.020000	-9301.365000	19475.595000	65079.945000	48536.595000	37372.005000	1409.985000	-16613.415000	-10.363467	-16.190510	-14.762300	1.702771	11.363186	12.789714	-8.911424	-10.917111	1.617560	-1.541260	-3.402980	-0.709227	-0.104797	0.687071	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	56.000000	0.000000	-1.000000	-1.000000	2397941.000000	1776581199.582872
-3288.465000	-9302.220000	19470.060000	65074.680000	48532.725000	37364.985000	1415.160000	-16607.655000	-7.562654	-11.792052	-7.958929	5.195643	10.114768	14.304474	-6.086309	-7.072086	-0.503580	-2.990960	-3.158820	-0.706663	-0.105896	0.689573	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	56.000000	0.000000	-1.000000	-1.000000	2397942.000000	1776581199.586950
-3291.615000	-9296.775000	19479.240000	65068.290000	48511.530000	37335.240000	1408.770000	-16614.765000	-1.365730	-2.721096	0.831554	4.952817	4.614711	8.768830	-0.643373	-0.077238	-0.503580	-2.990960	-3.158820	-0.706663	-0.105896	0.689573	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	56.000000	0.000000	-1.000000	-1.000000	2397943.000000	1776581199.586962
-3283.155000	-9272.970000	19509.300000	65084.985000	48512.385000	37320.345000	1409.580000	-16611.300000	5.542261	7.790026	9.290182	2.030851	-2.948313	-2.209209	4.906905	6.795836	-0.503580	-2.990960	-3.158820	-0.706663	-0.105896	0.689573	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	56.000000	0.000000	-1.000000	-1.000000	2397944.000000	1776581199.590828
-3291.075000	-9289.845000	19482.480000	65060.235000	48499.020000	37317.600000	1407.960000	-16615.125000	10.053242	15.908267	15.411072	-1.055327	-9.316797	-13.523987	7.895816	10.290312	-0.503580	-2.990960	-3.158820	-0.706663	-0.105896	0.689573	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	56.000000	0.000000	-1.000000	-1.000000	2397945.000000	1776581199.590850
-3293.865000	-9296.100000	19476.135000	65058.255000	48507.840000	37340.145000	1410.210000	-16616.880000	10.323246	17.660375	15.835182	-3.179741	-11.270457	-18.047528	7.626050	9.484348	-0.503580	-2.990960	-3.158820	-0.706663	-0.105896	0.689573	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	56.000000	0.000000	-1.000000	-1.000000	2397946.000000	1776581199.594915
-3305.250000	-9310.185000	19459.980000	65048.355000	48514.410000	37358.370000	1405.755000	-16627.995000	6.386216	11.370316	8.723900	-4.531419	-7.567550	-11.675474	5.094568	5.421119	-0.503580	-2.990960	-3.158820	-0.706663	-0.105896	0.689573	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	56.000000	0.000000	-1.000000	-1.000000	2397947.000000	1776581199.595028
-3304.575000	-9306.720000	19470.060000	65066.220000	48537.675000	37375.740000	1405.935000	-16625.565000	0.321880	0.369435	-2.230125	-4.271755	0.540756	2.695980	1.722108	0.146389	-0.503580	-2.990960	-3.158820	-0.706663	-0.105896	0.689573	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	56.000000	0.000000	-1.000000	-1.000000	2397948.000000	1776581199.598870
-3313.440000	-9311.130000	19474.560000	65080.710000	48539.655000	37368.135000	1390.905000	-16639.425000	-4.787565	-9.005747	-10.080554	-0.877387	9.568662	16.383462	-1.495952	-4.085682	-0.503580	-2.990960	-3.158820	-0.706663	-0.105896	0.689573	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	56.000000	0.000000	-1.000000	-1.000000	2397949.000000	1776581199.598882
