Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-20481.030000	-7710.210000	4173.885000	29366.460000	27168.165000	7921.755000	-4023.675000	-5683.995000	-1.381852	-0.625968	0.967886	18.037049	1.824288	-1.308497	0.856224	-0.121037	-1.373400	1.617560	-0.122080	-0.810301	-0.125793	0.561644	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	175823.000000	1775778624.431452
-20475.270000	-7701.075000	4187.250000	29376.180000	27166.860000	7899.570000	-4036.140000	-5685.570000	0.196710	1.790355	3.131064	16.664979	2.997990	-3.735433	1.042588	-0.272336	-1.373400	1.617560	-0.122080	-0.810301	-0.125793	0.561644	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	175824.000000	1775778624.431463
-20471.670000	-7696.845000	4187.700000	29381.760000	27167.805000	7877.835000	-4039.605000	-5685.840000	1.638229	3.704412	4.767329	9.802532	2.927950	-5.929415	-0.552693	-0.632925	-0.976640	1.587040	-0.289940	-0.809751	-0.125244	0.561278	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	175825.000000	1775778624.431477
-20468.880000	-7694.145000	4190.400000	29387.835000	27175.455000	7881.750000	-4022.775000	-5680.440000	2.623172	4.729066	5.315711	1.462986	2.366739	-7.600314	-2.580504	-0.803804	-0.976640	1.587040	-0.289940	-0.809751	-0.125244	0.561278	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	175826.000000	1775778624.431488
-20472.435000	-7698.555000	4184.505000	29385.450000	27179.595000	7912.665000	-4016.925000	-5681.610000	2.713425	4.159594	3.705082	-5.427249	2.170630	-6.049914	-2.179623	-0.250884	-0.976640	1.587040	-0.289940	-0.809751	-0.125244	0.561278	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	175827.000000	1775778624.431558
-20476.215000	-7706.880000	4170.555000	29374.155000	27178.920000	7957.755000	-4017.960000	-5685.165000	1.422251	1.498659	-0.318189	-9.952437	2.308467	1.828895	1.228696	0.714293	-0.976640	1.587040	-0.289940	-0.809751	-0.125244	0.561278	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	175828.000000	1775778624.431578
-20480.715000	-7711.605000	4166.325000	29367.405000	27175.590000	7957.440000	-4021.965000	-5688.090000	-1.066366	-2.653684	-5.566541	-12.419939	1.773835	14.183233	4.718094	1.093575	-0.976640	1.587040	-0.289940	-0.809751	-0.125244	0.561278	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	175829.000000	1775778624.431592
-20477.970000	-7706.970000	4170.915000	29368.890000	27181.710000	7940.970000	-4028.715000	-5686.020000	-3.531196	-6.241023	-9.313886	-12.665471	-0.014432	22.348423	5.065972	0.501045	-0.976640	1.587040	-0.289940	-0.809751	-0.125244	0.561278	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	175830.000000	1775778624.431604
-20463.885000	-7692.570000	4185.180000	29384.145000	27199.485000	7937.775000	-4021.020000	-5673.870000	-4.131297	-6.640557	-8.569998	-9.519807	-1.885774	18.062344	1.994300	-0.139122	-0.976640	1.587040	-0.289940	-0.809751	-0.125244	0.561278	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	175831.000000	1775778624.431616
-20456.235000	-7690.185000	4183.605000	29376.405000	27188.955000	7921.080000	-4020.525000	-5669.235000	-1.733298	-2.879874	-2.865194	-2.798173	-2.275308	2.252604	-1.848823	0.419302	-0.976640	1.587040	-0.289940	-0.809751	-0.125244	0.561278	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	175832.000000	1775778624.431628
-20463.120000	-7696.080000	4180.680000	29377.215000	27188.955000	7915.860000	-4020.345000	-5676.705000	2.331505	2.663773	4.395216	4.733134	-1.745238	-15.975932	-3.788538	1.823427	-0.976640	1.587040	-0.289940	-0.809751	-0.125244	0.561278	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	175833.000000	1775778624.431640
-20483.820000	-7712.100000	4169.880000	29377.620000	27187.785000	7921.035000	-4016.070000	-5690.340000	4.398817	5.667792	8.394167	9.292408	-1.909540	-26.683499	-3.289785	1.894567	-0.976640	1.587040	-0.289940	-0.809751	-0.125244	0.561278	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	175834.000000	1775778624.431648
-20489.625000	-7720.785000	4156.245000	29370.105000	27178.740000	7921.935000	-4010.760000	-5691.330000	1.867154	3.662801	6.720874	9.302896	-2.980027	-24.822016	-1.276401	-0.710183	-0.930860	1.663340	-1.052940	-0.808409	-0.123413	0.564147	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	175835.000000	1775778624.431659
-20476.665000	-7710.840000	4157.550000	29368.530000	27171.855000	7917.435000	-4011.345000	-5682.105000	-3.258046	-1.389895	0.985126	5.678390	-4.157993	-12.644190	0.988938	-4.140958	-0.930860	1.663340	-1.052940	-0.808409	-0.123413	0.564147	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	175836.000000	1775778624.431667
-20474.415000	-7707.555000	4162.995000	29361.690000	27167.445000	7919.910000	-4013.010000	-5680.665000	-5.899780	-4.701770	-4.325086	0.660059	-4.578274	2.518210	2.210545	-5.031725	-0.930860	1.663340	-1.052940	-0.808409	-0.123413	0.564147	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	175837.000000	1775778624.431682
