Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-26058.735000	-9343.845000	4368.555000	31518.810000	26920.530000	8345.610000	914.805000	-5374.575000	-5.457256	-7.488010	-4.737604	1.035085	0.027224	25.847022	3.493852	-3.675691	-0.579880	3.921820	-0.457800	-0.828489	-0.065979	0.540465	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	127779.000000	1775778527.953779
-26050.815000	-9335.745000	4379.625000	31530.960000	26923.500000	8333.685000	909.945000	-5372.640000	-8.489482	-7.195920	-3.664762	-3.828953	-9.619507	-0.735215	-1.770331	-6.560133	-0.579880	3.921820	-0.457800	-0.828489	-0.065979	0.540465	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	127780.000000	1775778527.953804
-26043.975000	-9324.315000	4393.845000	31544.460000	26940.645000	8331.075000	908.145000	-5364.405000	-7.736036	-3.884368	-0.443423	-5.173597	-15.064347	-30.656569	-6.797302	-6.966492	-0.579880	3.921820	-0.457800	-0.828489	-0.065979	0.540465	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	127781.000000	1775778527.953833
-26041.095000	-9317.070000	4396.950000	31548.465000	26947.710000	8327.700000	906.075000	-5362.245000	-1.420584	3.832518	6.026007	-0.267376	-10.490689	-46.171111	-9.050599	-2.899844	-0.579880	3.921820	-0.457800	-0.828489	-0.065979	0.540465	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	127782.000000	1775778527.953846
-26044.875000	-9322.470000	4390.740000	31543.155000	26944.470000	8332.650000	898.920000	-5368.365000	7.038701	12.400374	12.274082	7.173931	1.541169	-39.929065	-7.829915	3.573390	-0.579880	3.921820	-0.457800	-0.828489	-0.065979	0.540465	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	127783.000000	1775778527.960280
-26042.805000	-9321.480000	4391.100000	31542.840000	26940.240000	8333.955000	893.655000	-5369.715000	12.414086	16.353417	13.577407	11.131062	12.706772	-17.474192	-4.285843	8.239857	-0.579880	3.921820	-0.457800	-0.828489	-0.065979	0.540465	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	127784.000000	1775778527.960311
-26043.930000	-9323.955000	4386.105000	31539.420000	26936.685000	8334.855000	896.670000	-5369.805000	12.060782	13.192681	8.633125	8.839670	16.263574	8.732010	-0.138780	8.585698	-0.579880	3.921820	-0.457800	-0.828489	-0.065979	0.540465	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	127785.000000	1775778527.978726
-26044.875000	-9326.250000	4382.010000	31532.895000	26933.985000	8332.155000	902.160000	-5369.580000	7.056585	4.977811	0.245695	2.116559	11.527252	27.041756	3.695281	5.394728	-0.579880	3.921820	-0.457800	-0.828489	-0.065979	0.540465	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	127786.000000	1775778527.978752
-26042.850000	-9323.685000	4384.665000	31535.955000	26937.270000	8312.310000	903.780000	-5368.590000	0.476304	-3.876624	-7.260151	-5.026987	2.755079	31.522139	6.806433	1.167163	-0.579880	3.921820	-0.457800	-0.828489	-0.065979	0.540465	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	127787.000000	1775778527.978779
-26041.410000	-9321.390000	4389.525000	31543.425000	26942.265000	8306.145000	908.190000	-5366.295000	-4.631486	-9.415877	-10.476118	-8.823680	-4.632347	23.023596	8.430493	-1.943986	-0.579880	3.921820	-0.457800	-0.828489	-0.065979	0.540465	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	127788.000000	1775778527.978792
-26043.255000	-9321.525000	4392.630000	31548.060000	26949.645000	8314.380000	907.695000	-5366.700000	-6.694896	-10.050520	-8.489537	-7.581748	-7.337416	8.176254	7.774826	-3.091261	0.763000	2.685760	0.488320	-0.824705	-0.064758	0.541991	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	127789.000000	1775778527.978849
-26044.155000	-9322.740000	4390.335000	31544.910000	26949.465000	8331.255000	901.575000	-5369.040000	-6.043978	-6.957557	-3.300605	-2.818481	-5.524215	-4.035239	4.683928	-2.749086	0.763000	2.685760	0.488320	-0.824705	-0.064758	0.541991	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	127790.000000	1775778527.978866
-26037.000000	-9314.595000	4396.455000	31550.220000	26955.045000	8346.285000	897.615000	-5366.880000	-3.856792	-2.528239	1.792105	2.007536	-1.826711	-7.901000	-0.135289	-1.915982	0.763000	2.685760	0.488320	-0.824705	-0.064758	0.541991	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	127791.000000	1775778527.978887
-26040.240000	-9319.230000	4393.530000	31547.430000	26950.680000	8333.415000	898.560000	-5368.995000	-1.131493	1.335071	4.535698	4.338452	0.943770	-4.655873	-4.934787	-1.182354	0.763000	2.685760	0.488320	-0.824705	-0.064758	0.541991	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	127792.000000	1775778527.978898
-26046.720000	-9328.455000	4380.435000	31530.870000	26929.440000	8329.095000	906.930000	-5369.310000	1.021084	3.253842	4.207456	3.445984	1.006484	-0.553256	-7.369435	-0.669992	0.763000	2.685760	0.488320	-0.824705	-0.064758	0.541991	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	127793.000000	1775778527.979493
-26047.620000	-9328.500000	4378.995000	31528.485000	26925.390000	8321.760000	899.910000	-5371.740000	1.557395	2.555708	1.208335	-0.083748	-1.927168	-0.540725	-6.240166	-0.381387	0.763000	2.685760	0.488320	-0.824705	-0.064758	0.541991	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	127794.000000	1775778527.979510
-26041.815000	-9317.070000	4391.910000	31542.705000	26933.355000	8313.930000	894.285000	-5366.745000	0.800984	0.535416	-2.276203	-3.764419	-5.473943	-4.370591	-2.940194	-0.154947	0.763000	2.685760	0.488320	-0.824705	-0.064758	0.541991	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	55.000000	0.000000	-1.000000	-1.000000	127795.000000	1775778527.979532
