Channel1	Channel2	Channel3	Channel4	Channel5	Channel6	Channel7	Channel8	FilteredChannel1	FilteredChannel2	FilteredChannel3	FilteredChannel4	FilteredChannel5	FilteredChannel6	FilteredChannel7	FilteredChannel8	GyroX	GyroY	GyroZ	AccX	AccY	AccZ	PPG1	PPG2	rawPPG1	rawPPG2	rawPPG3	Hr	Hrv	Battery	Trigger	PhysicalTrigger	AutoTrigger	NumMeasurements	Timestamp
-13714.020000	-14500.890000	14486.805000	39911.490000	14684.265000	-44.685000	-28795.095000	-39063.195000	2.454034	0.359506	1.045444	1.311184	1.695115	3.835808	0.559191	2.553613	1.083460	0.412020	0.808780	-0.922849	-0.009155	0.368224	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	51.000000	0.000000	-1.000000	-1.000000	541263.000000	1775792936.914078
-13725.585000	-14510.250000	14477.805000	39902.670000	14675.850000	-60.480000	-28804.185000	-39075.255000	0.154915	-3.369478	-3.108027	-2.643059	-2.721461	0.459410	1.178869	1.857204	1.052940	1.571780	-0.518840	-0.927061	-0.006531	0.368529	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	51.000000	0.000000	-1.000000	-1.000000	541264.000000	1775792936.920107
-13728.465000	-14511.870000	14472.135000	39894.750000	14669.055000	-70.470000	-28801.530000	-39076.290000	-3.001683	-6.303031	-6.446271	-5.811840	-6.089813	-3.111104	1.002895	-0.549667	1.052940	1.571780	-0.518840	-0.927061	-0.006531	0.368529	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	51.000000	0.000000	-1.000000	-1.000000	541265.000000	1775792936.920131
-13714.380000	-14502.105000	14481.765000	39904.425000	14677.155000	-64.080000	-28791.540000	-39064.680000	-5.095124	-7.033579	-7.702877	-7.172818	-7.048617	-5.551942	0.665790	-2.936215	1.052940	1.571780	-0.518840	-0.927061	-0.006531	0.368529	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	51.000000	0.000000	-1.000000	-1.000000	541266.000000	1775792937.031516
-13693.095000	-14482.305000	14498.955000	39920.805000	14698.575000	-34.290000	-28771.830000	-39042.990000	-3.584408	-4.150965	-5.403146	-5.259992	-4.347936	-4.445611	1.622534	-2.518800	1.052940	1.571780	-0.518840	-0.927061	-0.006531	0.368529	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	51.000000	0.000000	-1.000000	-1.000000	541267.000000	1775792937.031539
-13703.940000	-14492.205000	14488.335000	39910.725000	14694.030000	-23.130000	-28776.465000	-39052.440000	1.577082	1.687102	0.143977	-0.102688	1.660921	1.517380	4.076566	1.321484	1.052940	1.571780	-0.518840	-0.927061	-0.006531	0.368529	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	51.000000	0.000000	-1.000000	-1.000000	541268.000000	1775792937.031565
-13711.005000	-14497.470000	14486.085000	39910.905000	14696.730000	-11.700000	-28782.765000	-39061.845000	6.231529	6.594343	5.389244	5.067766	7.510659	9.470593	5.558846	5.067137	1.052940	1.571780	-0.518840	-0.927061	-0.006531	0.368529	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	51.000000	0.000000	-1.000000	-1.000000	541269.000000	1775792937.031575
-13711.725000	-14497.020000	14486.715000	39910.905000	14694.930000	-22.005000	-28787.130000	-39063.645000	6.070073	6.828112	6.685835	6.700363	9.126601	13.535377	3.328973	4.614451	1.052940	1.571780	-0.518840	-0.927061	-0.006531	0.368529	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	51.000000	0.000000	-1.000000	-1.000000	541270.000000	1775792937.031588
-13720.905000	-14503.050000	14481.990000	39905.280000	14688.450000	-36.675000	-28796.265000	-39074.670000	1.265938	2.670402	3.914297	4.365893	5.519116	9.509977	-2.242604	-0.072463	1.052940	1.571780	-0.518840	-0.927061	-0.006531	0.368529	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	51.000000	0.000000	-1.000000	-1.000000	541271.000000	1775792937.031597
-13712.445000	-14495.490000	14489.595000	39913.335000	14692.770000	-34.785000	-28788.795000	-39067.335000	-4.422151	-2.487640	-0.284815	0.258348	-0.943611	-1.397729	-7.806292	-5.437882	1.052940	1.571780	-0.518840	-0.927061	-0.006531	0.368529	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	51.000000	0.000000	-1.000000	-1.000000	541272.000000	1775792937.031739
-13696.965000	-14480.055000	14504.895000	39927.600000	14702.085000	-23.895000	-28780.065000	-39053.565000	-6.824761	-4.989431	-2.782300	-2.584957	-6.279488	-12.546321	-9.534703	-7.392171	1.052940	1.571780	-0.518840	-0.927061	-0.006531	0.368529	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	-1.000000	51.000000	0.000000	-1.000000	-1.000000	541273.000000	1775792937.031752
